fundingTime,symbol,fundingRate
2020-02-06 16:00:00.000,ATOMUSDT,0.0001
2020-02-07 00:00:00.000,ATOMUSDT,0.0001
2020-02-07 08:00:00.000,ATOMUSDT,0.0001
2020-02-07 16:00:00.001,ATOMUSDT,0.0075
2020-02-08 00:00:00.000,ATOMUSDT,0.0014614
2020-02-08 08:00:00.000,ATOMUSDT,0.00046452
2020-02-08 16:00:00.000,ATOMUSDT,0.0001
2020-02-09 00:00:00.000,ATOMUSDT,-0.00016375
2020-02-09 08:00:00.000,ATOMUSDT,0.0041014
2020-02-09 16:00:00.000,ATOMUSDT,0.00182383
2020-02-10 00:00:00.000,ATOMUSDT,0.00191302
2020-02-10 08:00:00.000,ATOMUSDT,0.00064416
2020-02-10 16:00:00.009,ATOMUSDT,0.0001
2020-02-11 00:00:00.000,ATOMUSDT,0.00044179
2020-02-11 08:00:00.000,ATOMUSDT,0.0001
2020-02-11 16:00:00.000,ATOMUSDT,0.0010229
2020-02-12 00:00:00.000,ATOMUSDT,0.00172988
2020-02-12 08:00:00.001,ATOMUSDT,0.00235787
2020-02-12 16:00:00.000,ATOMUSDT,0.00140706
2020-02-13 00:00:00.001,ATOMUSDT,0.00271325
2020-02-13 08:00:00.000,ATOMUSDT,0.00245318
2020-02-13 16:00:00.000,ATOMUSDT,0.00060479
2020-02-14 00:00:00.000,ATOMUSDT,0.00018869
2020-02-14 08:00:00.000,ATOMUSDT,0.0001286
2020-02-14 16:00:00.000,ATOMUSDT,0.00064731
2020-02-15 00:00:00.000,ATOMUSDT,0.00156312
2020-02-15 08:00:00.000,ATOMUSDT,0.0011618
2020-02-15 16:00:00.000,ATOMUSDT,0.00186952
2020-02-16 00:00:00.000,ATOMUSDT,0.00033814
2020-02-16 08:00:00.000,ATOMUSDT,0.0001
2020-02-16 16:00:00.000,ATOMUSDT,0.0001
2020-02-17 00:00:00.000,ATOMUSDT,0.0001
2020-02-17 08:00:00.000,ATOMUSDT,0.0001
2020-02-17 16:00:00.000,ATOMUSDT,0.00013213
2020-02-18 00:00:00.000,ATOMUSDT,0.0001
2020-02-18 08:00:00.000,ATOMUSDT,0.0002382
2020-02-18 16:00:00.000,ATOMUSDT,0.0001
2020-02-19 00:00:00.000,ATOMUSDT,0.00031301
2020-02-19 08:00:00.001,ATOMUSDT,0.0001
2020-02-19 16:00:00.000,ATOMUSDT,0.0001
2020-02-20 00:00:00.004,ATOMUSDT,0.00038177
2020-02-20 08:00:00.000,ATOMUSDT,0.0001
2020-02-20 16:00:00.000,ATOMUSDT,0.0001
2020-02-21 00:00:00.000,ATOMUSDT,0.0001
2020-02-21 08:00:00.000,ATOMUSDT,0.0001
2020-02-21 16:00:00.000,ATOMUSDT,0.0001
2020-02-22 00:00:00.000,ATOMUSDT,0.0003373
2020-02-22 08:00:00.001,ATOMUSDT,0.00026287
2020-02-22 16:00:00.000,ATOMUSDT,0.0001
2020-02-23 00:00:00.000,ATOMUSDT,0.0001
2020-02-23 08:00:00.000,ATOMUSDT,0.00032702
2020-02-23 16:00:00.000,ATOMUSDT,0.00027489
2020-02-24 00:00:00.015,ATOMUSDT,0.00128653
2020-02-24 08:00:00.000,ATOMUSDT,0.00111079
2020-02-24 16:00:00.000,ATOMUSDT,0.00045144
2020-02-25 00:00:00.001,ATOMUSDT,0.0001
2020-02-25 08:00:00.000,ATOMUSDT,0.00101254
2020-02-25 16:00:00.001,ATOMUSDT,0.0006252
2020-02-26 00:00:00.000,ATOMUSDT,0.00067251
2020-02-26 08:00:00.001,ATOMUSDT,0.0001
2020-02-26 16:00:00.000,ATOMUSDT,0.0001
2020-02-27 00:00:00.001,ATOMUSDT,0.00062613
2020-02-27 08:00:00.001,ATOMUSDT,0.0001
2020-02-27 16:00:00.000,ATOMUSDT,0.00017026
2020-02-28 00:00:00.000,ATOMUSDT,0.00016047
2020-02-28 08:00:00.000,ATOMUSDT,0.00099237
2020-02-28 16:00:00.000,ATOMUSDT,0.00013134
2020-02-29 00:00:00.000,ATOMUSDT,0.00138093
2020-02-29 08:00:00.000,ATOMUSDT,-8.287e-05
2020-02-29 16:00:00.000,ATOMUSDT,0.0001
2020-03-01 00:00:00.000,ATOMUSDT,0.00100561
2020-03-01 08:00:00.000,ATOMUSDT,0.00177865
2020-03-01 16:00:00.001,ATOMUSDT,0.0001
2020-03-02 00:00:00.000,ATOMUSDT,0.00070584
2020-03-02 08:00:00.000,ATOMUSDT,0.00047826
2020-03-02 16:00:00.004,ATOMUSDT,0.0001
2020-03-03 00:00:00.000,ATOMUSDT,0.0001
2020-03-03 08:00:00.003,ATOMUSDT,0.0001
2020-03-03 16:00:00.000,ATOMUSDT,0.00089168
2020-03-04 00:00:00.002,ATOMUSDT,0.00201054
2020-03-04 08:00:00.000,ATOMUSDT,0.0001
2020-03-04 16:00:00.001,ATOMUSDT,0.0001
2020-03-05 00:00:00.000,ATOMUSDT,0.00034972
2020-03-05 08:00:00.000,ATOMUSDT,0.0001
2020-03-05 16:00:00.000,ATOMUSDT,0.00024459
2020-03-06 00:00:00.003,ATOMUSDT,0.00013362
2020-03-06 08:00:00.000,ATOMUSDT,0.00082698
2020-03-06 16:00:00.000,ATOMUSDT,0.00085851
2020-03-07 00:00:00.000,ATOMUSDT,0.00082896
2020-03-07 08:00:00.001,ATOMUSDT,0.00032991
2020-03-07 16:00:00.000,ATOMUSDT,0.0001728
2020-03-08 00:00:00.001,ATOMUSDT,0.00066575
2020-03-08 08:00:00.000,ATOMUSDT,0.00015538
2020-03-08 16:00:00.006,ATOMUSDT,0.0001
2020-03-09 00:00:00.000,ATOMUSDT,0.0001
2020-03-09 08:00:00.000,ATOMUSDT,0.00135202
2020-03-09 16:00:00.000,ATOMUSDT,0.00019021
2020-03-10 00:00:00.000,ATOMUSDT,0.0001
2020-03-10 08:00:00.000,ATOMUSDT,0.0001
2020-03-10 16:00:00.000,ATOMUSDT,0.0001
2020-03-10 16:00:00.000,ATOMUSDT,0.0001
2020-03-11 00:00:00.001,ATOMUSDT,0.00170186
2020-03-11 08:00:00.000,ATOMUSDT,0.0004161
2020-03-11 16:00:00.000,ATOMUSDT,-0.00045741
2020-03-12 00:00:00.001,ATOMUSDT,0.0001
2020-03-12 08:00:00.001,ATOMUSDT,0.0001
2020-03-12 16:00:00.000,ATOMUSDT,-0.00037266
2020-03-13 00:00:00.000,ATOMUSDT,0.0001
2020-03-13 08:00:00.000,ATOMUSDT,-0.00128011
2020-03-13 16:00:00.002,ATOMUSDT,-0.00107947
2020-03-14 00:00:00.000,ATOMUSDT,0.0001
2020-03-14 08:00:00.001,ATOMUSDT,-0.00127279
2020-03-14 16:00:00.000,ATOMUSDT,-0.00332109
2020-03-15 00:00:00.000,ATOMUSDT,-0.002513
