fundingTime,symbol,fundingRate
2020-11-20 08:00:00.005,AXSUSDT,0.00021353
2020-11-20 16:00:00.000,AXSUSDT,0.00060291
2020-11-21 00:00:00.000,AXSUSDT,0.0001
2020-11-21 08:00:00.000,AXSUSDT,0.00015284
2020-11-21 16:00:00.001,AXSUSDT,0.00103528
2020-11-22 00:00:00.005,AXSUSDT,0.00073983
2020-11-22 08:00:00.000,AXSUSDT,0.0001
2020-11-22 16:00:00.000,AXSUSDT,0.0001
2020-11-23 00:00:00.005,AXSUSDT,0.00025538
2020-11-23 08:00:00.000,AXSUSDT,0.00053641
2020-11-23 16:00:00.003,AXSUSDT,0.00123588
2020-11-24 00:00:00.000,AXSUSDT,0.00058078
2020-11-24 08:00:00.000,AXSUSDT,0.00275497
2020-11-24 16:00:00.005,AXSUSDT,0.0005307
2020-11-25 00:00:00.005,AXSUSDT,0.00037003
2020-11-25 08:00:00.005,AXSUSDT,0.0003834
2020-11-25 16:00:00.015,AXSUSDT,0.00089379
2020-11-26 00:00:00.012,AXSUSDT,0.00054357
2020-11-26 08:00:00.002,AXSUSDT,0.0001
2020-11-26 16:00:00.001,AXSUSDT,0.0001
2020-11-27 00:00:00.001,AXSUSDT,0.0001
2020-11-27 08:00:00.000,AXSUSDT,0.0001
2020-11-27 16:00:00.007,AXSUSDT,0.0001
2020-11-28 00:00:00.007,AXSUSDT,0.0001
2020-11-28 08:00:00.012,AXSUSDT,0.0001
2020-11-28 16:00:00.000,AXSUSDT,0.0001
2020-11-29 00:00:00.007,AXSUSDT,0.0001
2020-11-29 08:00:00.000,AXSUSDT,-0.00028088
2020-11-29 16:00:00.000,AXSUSDT,-2.415e-05
2020-11-30 00:00:00.004,AXSUSDT,-0.00022281
2020-11-30 08:00:00.007,AXSUSDT,0.0001
2020-11-30 16:00:00.000,AXSUSDT,0.00049587
2020-12-01 00:00:00.000,AXSUSDT,0.0001
2020-12-01 08:00:00.003,AXSUSDT,0.00026027
2020-12-01 16:00:00.000,AXSUSDT,0.0001
2020-12-02 00:00:00.001,AXSUSDT,0.0001
2020-12-02 08:00:00.011,AXSUSDT,0.0001
2020-12-02 16:00:00.005,AXSUSDT,0.0001
2020-12-03 00:00:00.001,AXSUSDT,0.00020016
2020-12-03 08:00:00.031,AXSUSDT,0.00011408
2020-12-03 16:00:00.000,AXSUSDT,0.00025176
2020-12-04 00:00:00.006,AXSUSDT,0.00021562
2020-12-04 08:00:00.009,AXSUSDT,0.0001
2020-12-04 16:00:00.000,AXSUSDT,0.0001
2020-12-05 00:00:00.000,AXSUSDT,0.0001
2020-12-05 08:00:00.000,AXSUSDT,0.0001
2020-12-05 16:00:00.000,AXSUSDT,0.0001
2020-12-06 00:00:00.004,AXSUSDT,0.0001
2020-12-06 08:00:00.000,AXSUSDT,0.0001
2020-12-06 16:00:00.001,AXSUSDT,0.0001
2020-12-07 00:00:00.000,AXSUSDT,0.0001
2020-12-07 08:00:00.008,AXSUSDT,0.0001
2020-12-07 16:00:00.000,AXSUSDT,0.0001
2020-12-08 00:00:00.003,AXSUSDT,0.0001
2020-12-08 08:00:00.003,AXSUSDT,0.0001
2020-12-08 16:00:00.033,AXSUSDT,0.0001
2020-12-09 00:00:00.000,AXSUSDT,0.00011974
2020-12-09 08:00:00.010,AXSUSDT,0.00010692
2020-12-09 16:00:00.000,AXSUSDT,0.0001
2020-12-10 00:00:00.000,AXSUSDT,0.00022158
2020-12-10 08:00:00.000,AXSUSDT,0.00038976
2020-12-10 16:00:00.007,AXSUSDT,0.0001
2020-12-11 00:00:00.000,AXSUSDT,0.00036128
2020-12-11 08:00:00.016,AXSUSDT,0.0001
2020-12-11 16:00:00.010,AXSUSDT,0.0001
2020-12-12 00:00:00.009,AXSUSDT,0.0001
2020-12-12 08:00:00.002,AXSUSDT,0.0001
2020-12-12 16:00:00.000,AXSUSDT,0.0001
2020-12-13 00:00:00.007,AXSUSDT,0.0001
