timestamp,symbol,longAccount,longShortRatio,shortAccount
2024-10-02 04:00:00,BTCUSDT,0.6136,1.588,0.3864
2024-10-02 08:00:00,BTCUSDT,0.6059,1.5374,0.3941
2024-10-02 12:00:00,BTCUSDT,0.592,1.451,0.408
2024-10-02 16:00:00,BTCUSDT,0.5951,1.4697,0.4049
2024-10-02 20:00:00,BTCUSDT,0.6208,1.6371,0.3792
2024-10-03 00:00:00,BTCUSDT,0.6258,1.6724,0.3742
2024-10-03 04:00:00,BTCUSDT,0.636,1.7473,0.364
2024-10-03 08:00:00,BTCUSDT,0.6165,1.6076,0.3835
2024-10-03 12:00:00,BTCUSDT,0.6203,1.6337,0.3797
2024-10-03 16:00:00,BTCUSDT,0.6327,1.7226,0.3673
2024-10-03 20:00:00,BTCUSDT,0.6209,1.6378,0.3791
2024-10-04 00:00:00,BTCUSDT,0.619,1.6247,0.381
2024-10-04 04:00:00,BTCUSDT,0.622,1.6455,0.378
2024-10-04 08:00:00,BTCUSDT,0.6223,1.6476,0.3777
2024-10-04 12:00:00,BTCUSDT,0.6211,1.6392,0.3789
2024-10-04 16:00:00,BTCUSDT,0.6078,1.5497,0.3922
2024-10-04 20:00:00,BTCUSDT,0.5799,1.3804,0.4201
2024-10-05 00:00:00,BTCUSDT,0.5688,1.3191,0.4312
2024-10-05 04:00:00,BTCUSDT,0.571,1.331,0.429
2024-10-05 08:00:00,BTCUSDT,0.5758,1.3574,0.4242
2024-10-05 12:00:00,BTCUSDT,0.5734,1.3441,0.4266
2024-10-05 16:00:00,BTCUSDT,0.5658,1.3031,0.4342
2024-10-05 20:00:00,BTCUSDT,0.5644,1.2957,0.4356
2024-10-06 00:00:00,BTCUSDT,0.574,1.3474,0.426
2024-10-06 04:00:00,BTCUSDT,0.5791,1.3759,0.4209
2024-10-06 08:00:00,BTCUSDT,0.5798,1.3798,0.4202
2024-10-06 12:00:00,BTCUSDT,0.5812,1.3878,0.4188
2024-10-06 16:00:00,BTCUSDT,0.5747,1.3513,0.4253
2024-10-06 20:00:00,BTCUSDT,0.5637,1.292,0.4363
2024-10-07 00:00:00,BTCUSDT,0.5631,1.2889,0.4369
2024-10-07 04:00:00,BTCUSDT,0.5423,1.1848,0.4577
2024-10-07 08:00:00,BTCUSDT,0.5496,1.2202,0.4504
2024-10-07 12:00:00,BTCUSDT,0.5834,1.4004,0.4166
2024-10-07 16:00:00,BTCUSDT,0.5526,1.2351,0.4474
2024-10-07 20:00:00,BTCUSDT,0.5717,1.3348,0.4283
2024-10-08 00:00:00,BTCUSDT,0.5791,1.3759,0.4209
2024-10-08 04:00:00,BTCUSDT,0.5852,1.4108,0.4148
2024-10-08 08:00:00,BTCUSDT,0.5853,1.4114,0.4147
2024-10-08 12:00:00,BTCUSDT,0.593,1.457,0.407
2024-10-08 16:00:00,BTCUSDT,0.5959,1.4746,0.4041
2024-10-08 20:00:00,BTCUSDT,0.5975,1.4845,0.4025
2024-10-09 00:00:00,BTCUSDT,0.603,1.5189,0.397
2024-10-09 04:00:00,BTCUSDT,0.5971,1.482,0.4029
2024-10-09 08:00:00,BTCUSDT,0.6032,1.5202,0.3968
2024-10-09 12:00:00,BTCUSDT,0.6125,1.5806,0.3875
2024-10-09 16:00:00,BTCUSDT,0.608,1.551,0.392
2024-10-09 20:00:00,BTCUSDT,0.6284,1.6911,0.3716
2024-10-10 00:00:00,BTCUSDT,0.6459,1.8241,0.3541
2024-10-10 04:00:00,BTCUSDT,0.6568,1.9138,0.3432
2024-10-10 08:00:00,BTCUSDT,0.651,1.8653,0.349
2024-10-10 12:00:00,BTCUSDT,0.6446,1.8137,0.3554
2024-10-10 16:00:00,BTCUSDT,0.6502,1.8588,0.3498
2024-10-10 20:00:00,BTCUSDT,0.6879,2.2041,0.3121
2024-10-11 00:00:00,BTCUSDT,0.6771,2.0969,0.3229
2024-10-11 04:00:00,BTCUSDT,0.6666,1.9994,0.3334
2024-10-11 08:00:00,BTCUSDT,0.6477,1.8385,0.3523
2024-10-11 12:00:00,BTCUSDT,0.6276,1.6853,0.3724
2024-10-11 16:00:00,BTCUSDT,0.5801,1.3815,0.4199
2024-10-11 20:00:00,BTCUSDT,0.5396,1.172,0.4604
2024-10-12 00:00:00,BTCUSDT,0.5237,1.0995,0.4763
2024-10-12 04:00:00,BTCUSDT,0.5267,1.1128,0.4733
2024-10-12 08:00:00,BTCUSDT,0.5381,1.165,0.4619
2024-10-12 12:00:00,BTCUSDT,0.5351,1.151,0.4649
2024-10-12 16:00:00,BTCUSDT,0.5279,1.1182,0.4721
2024-10-12 20:00:00,BTCUSDT,0.5143,1.0589,0.4857
2024-10-13 00:00:00,BTCUSDT,0.5132,1.0542,0.4868
2024-10-13 04:00:00,BTCUSDT,0.5216,1.0903,0.4784
2024-10-13 08:00:00,BTCUSDT,0.5299,1.1272,0.4701
2024-10-13 12:00:00,BTCUSDT,0.5299,1.1272,0.4701
2024-10-13 16:00:00,BTCUSDT,0.5508,1.2262,0.4492
2024-10-13 20:00:00,BTCUSDT,0.5563,1.2538,0.4437
2024-10-14 00:00:00,BTCUSDT,0.5573,1.2589,0.4427
2024-10-14 04:00:00,BTCUSDT,0.5199,1.0829,0.4801
2024-10-14 08:00:00,BTCUSDT,0.4908,0.9639,0.5092
2024-10-14 12:00:00,BTCUSDT,0.4574,0.843,0.5426
2024-10-14 16:00:00,BTCUSDT,0.4193,0.7221,0.5807
2024-10-14 20:00:00,BTCUSDT,0.4174,0.7164,0.5826
2024-10-15 00:00:00,BTCUSDT,0.4144,0.7077,0.5856
2024-10-15 04:00:00,BTCUSDT,0.4079,0.6889,0.5921
2024-10-15 08:00:00,BTCUSDT,0.4259,0.7419,0.5741
2024-10-15 12:00:00,BTCUSDT,0.4168,0.7147,0.5832
2024-10-15 16:00:00,BTCUSDT,0.4513,0.8225,0.5487
2024-10-15 20:00:00,BTCUSDT,0.423,0.7331,0.577
2024-10-16 00:00:00,BTCUSDT,0.4188,0.7206,0.5812
2024-10-16 04:00:00,BTCUSDT,0.4208,0.7265,0.5792
2024-10-16 08:00:00,BTCUSDT,0.4154,0.7106,0.5846
2024-10-16 12:00:00,BTCUSDT,0.3919,0.6445,0.6081
2024-10-16 16:00:00,BTCUSDT,0.3975,0.6598,0.6025
2024-10-16 20:00:00,BTCUSDT,0.3934,0.6485,0.6066
2024-10-17 00:00:00,BTCUSDT,0.3927,0.6466,0.6073
2024-10-17 04:00:00,BTCUSDT,0.4009,0.6692,0.5991
2024-10-17 08:00:00,BTCUSDT,0.4045,0.6793,0.5955
2024-10-17 12:00:00,BTCUSDT,0.4067,0.6855,0.5933
2024-10-17 16:00:00,BTCUSDT,0.4177,0.7173,0.5823
2024-10-17 20:00:00,BTCUSDT,0.4257,0.7413,0.5743
2024-10-18 00:00:00,BTCUSDT,0.4145,0.7079,0.5855
2024-10-18 04:00:00,BTCUSDT,0.4001,0.6669,0.5999
2024-10-18 08:00:00,BTCUSDT,0.3937,0.6493,0.6063
2024-10-18 12:00:00,BTCUSDT,0.4004,0.6678,0.5996
2024-10-18 16:00:00,BTCUSDT,0.3744,0.5985,0.6256
2024-10-18 20:00:00,BTCUSDT,0.3707,0.5891,0.6293
2024-10-19 00:00:00,BTCUSDT,0.3837,0.6226,0.6163
2024-10-19 04:00:00,BTCUSDT,0.3954,0.654,0.6046
2024-10-19 08:00:00,BTCUSDT,0.3978,0.6606,0.6022
2024-10-19 12:00:00,BTCUSDT,0.3932,0.648,0.6068
2024-10-19 16:00:00,BTCUSDT,0.4048,0.6801,0.5952
2024-10-19 20:00:00,BTCUSDT,0.4089,0.6918,0.5911
2024-10-20 00:00:00,BTCUSDT,0.413,0.7036,0.587
2024-10-20 04:00:00,BTCUSDT,0.4115,0.6992,0.5885
2024-10-20 08:00:00,BTCUSDT,0.4071,0.6866,0.5929
2024-10-20 12:00:00,BTCUSDT,0.4063,0.6844,0.5937
2024-10-20 16:00:00,BTCUSDT,0.4088,0.6915,0.5912
2024-10-20 20:00:00,BTCUSDT,0.4059,0.6832,0.5941
2024-10-21 00:00:00,BTCUSDT,0.4024,0.6734,0.5976
2024-10-21 04:00:00,BTCUSDT,0.4063,0.6844,0.5937
2024-10-21 08:00:00,BTCUSDT,0.4069,0.6861,0.5931
2024-10-21 12:00:00,BTCUSDT,0.4257,0.7413,0.5743
2024-10-21 16:00:00,BTCUSDT,0.4613,0.8563,0.5387
2024-10-21 20:00:00,BTCUSDT,0.4629,0.8619,0.5371
2024-10-22 00:00:00,BTCUSDT,0.4527,0.8272,0.5473
2024-10-22 04:00:00,BTCUSDT,0.45,0.8182,0.55
2024-10-22 08:00:00,BTCUSDT,0.4491,0.8152,0.5509
2024-10-22 12:00:00,BTCUSDT,0.4656,0.8713,0.5344
2024-10-22 16:00:00,BTCUSDT,0.4627,0.8612,0.5373
2024-10-22 20:00:00,BTCUSDT,0.4551,0.8352,0.5449
2024-10-23 00:00:00,BTCUSDT,0.4532,0.8288,0.5468
2024-10-23 04:00:00,BTCUSDT,0.4696,0.8854,0.5304
2024-10-23 08:00:00,BTCUSDT,0.4774,0.9135,0.5226
2024-10-23 12:00:00,BTCUSDT,0.494,0.9763,0.506
2024-10-23 16:00:00,BTCUSDT,0.5068,1.0276,0.4932
2024-10-23 20:00:00,BTCUSDT,0.5255,1.1075,0.4745
2024-10-24 00:00:00,BTCUSDT,0.5169,1.07,0.4831
2024-10-24 04:00:00,BTCUSDT,0.5039,1.0157,0.4961
2024-10-24 08:00:00,BTCUSDT,0.4985,0.994,0.5015
2024-10-24 12:00:00,BTCUSDT,0.5098,1.04,0.4902
2024-10-24 16:00:00,BTCUSDT,0.4756,0.9069,0.5244
2024-10-24 20:00:00,BTCUSDT,0.4668,0.8755,0.5332
2024-10-25 00:00:00,BTCUSDT,0.4572,0.8423,0.5428
2024-10-25 04:00:00,BTCUSDT,0.454,0.8315,0.546
2024-10-25 08:00:00,BTCUSDT,0.4692,0.8839,0.5308
2024-10-25 12:00:00,BTCUSDT,0.4792,0.9201,0.5208
2024-10-25 16:00:00,BTCUSDT,0.454,0.8315,0.546
