timestamp,totalCirculatingUSD
2021-01-01,20935116985
2021-01-02,21165735738
2021-01-03,21269142057
2021-01-04,21365921518
2021-01-05,21801817637
2021-01-06,21999023184
2021-01-07,22474734200
2021-01-08,22851073405
2021-01-09,23583727384
2021-01-10,23913934009
2021-01-11,24329532341
2021-01-12,24685391833
2021-01-13,24351165459
2021-01-14,24425386977
2021-01-15,24162272324
2021-01-16,24279459849
2021-01-17,24367969508
2021-01-18,24281038720
2021-01-19,24365435402
2021-01-20,24236946768
2021-01-21,24718410858
2021-01-22,25018693185
2021-01-23,24811541182
2021-01-24,24712146512
2021-01-25,24802853572
2021-01-26,24964568822
2021-01-27,25139783880
2021-01-28,25307575273
2021-01-29,25350018070
2021-01-30,25103831303
2021-01-31,26168831343
2021-02-01,26483682759
2021-02-02,26472459964
2021-02-03,26762411109
2021-02-04,27038111736
2021-02-05,27502829455
2021-02-06,27873077234
2021-02-07,28300602949
2021-02-08,28528206626
2021-02-09,28948919015
2021-02-10,29626314075
2021-02-11,30196176794
2021-02-12,30677104900
2021-02-13,30976539268
2021-02-14,31500838668
2021-02-15,31831885538
2021-02-16,32125633437
2021-02-17,32357447861
2021-02-18,32413291911
2021-02-19,33167537656
2021-02-20,33964430062
2021-02-21,34545753091
2021-02-22,34510046446
2021-02-23,34939749133
2021-02-24,35025482933
2021-02-25,35416406690
2021-02-26,35083600306
2021-02-27,35581859982
2021-02-28,34808762267
2021-03-01,35568293656
2021-03-02,35495107615
2021-03-03,35948972275
2021-03-04,35821819941
2021-03-05,36557122622
2021-03-06,36387300593
2021-03-07,36572628505
2021-03-08,36652063182
2021-03-09,36499013028
2021-03-10,36984401411
2021-03-11,37185340231
2021-03-12,37666310374
2021-03-13,38267340840
2021-03-14,38386048842
2021-03-15,38533411509
2021-03-16,38650333128
2021-03-17,38779245187
2021-03-18,39118228142
2021-03-19,39177862565
2021-03-20,39574945993
2021-03-21,39864066950
2021-03-22,39868153344
2021-03-23,39921765429
2021-03-24,39614375577
2021-03-25,39829512767
2021-03-26,40280316222
2021-03-27,40271968382
2021-03-28,40515760357
2021-03-29,40836509536
2021-03-30,40496509481
2021-03-31,40726398262
2021-04-01,40828662356
2021-04-02,40865229034
2021-04-03,41813133068
2021-04-04,42475840765
2021-04-05,42516185636
2021-04-06,42515783762
2021-04-07,43138125471
2021-04-08,43154970746
2021-04-09,43907339890
2021-04-10,43862141614
2021-04-11,44526368624
2021-04-12,44487838877
2021-04-13,44632650834
2021-04-14,45573928455
2021-04-15,45913564175
2021-04-16,46600660619
2021-04-17,46916060116
2021-04-18,48045154807
2021-04-19,48468535908
2021-04-20,48238258549
2021-04-21,48839998447
2021-04-22,49035875172
2021-04-23,49709792710
2021-04-24,49565105986
2021-04-25,49429163167
2021-04-26,50495015134
2021-04-27,50207677416
2021-04-28,50130509261
2021-04-29,51191042585
2021-04-30,51288699069
2021-05-01,51250703448
2021-05-02,51707716414
2021-05-03,52025629416
2021-05-04,52400207094
2021-05-05,52464223020
2021-05-06,52943892216
2021-05-07,53755133296
2021-05-08,55069674379
2021-05-09,55408048002
2021-05-10,55851545524
2021-05-11,56507276804
2021-05-12,56782319238
2021-05-13,57835482256
2021-05-14,57528528354
2021-05-15,57947909871
2021-05-16,58093086780
2021-05-17,58576968140
2021-05-18,58738180827
2021-05-19,58110737322
2021-05-20,57844223554
2021-05-21,58735496391
2021-05-22,58564538631
2021-05-23,59938923543
2021-05-24,59779237244
2021-05-25,59974413991
2021-05-26,60377436586
2021-05-27,60804942594
2021-05-28,61012074048
2021-05-29,61385272171
2021-05-30,61365485214
2021-05-31,61679096604
2021-06-01,61662124698
2021-06-02,62255321142
2021-06-03,61872692492
2021-06-04,61854837885
2021-06-05,62200460093
2021-06-06,62382497245
2021-06-07,62750580532
2021-06-08,62462754560
2021-06-09,62765369075
2021-06-10,62776883637
2021-06-11,63268937484
2021-06-12,62856172114
2021-06-13,63310778731
2021-06-14,62701550948
2021-06-15,62914263463
2021-06-16,63136961739
2021-06-17,62586960828
2021-06-18,63099667999
2021-06-19,62836933197
2021-06-20,63288058373
2021-06-21,62908463833
2021-06-22,62259101772
2021-06-23,63243411880
2021-06-24,63237043450
2021-06-25,63103671351
2021-06-26,62814853079
2021-06-27,63831367436
2021-06-28,63352101913
2021-06-29,63200162143
2021-06-30,62688846708
2021-07-01,63058339992
