,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
DPO_n20_displacement5,0.015886261520331717,-0.40000000000000013,0.5072815533980582,0.014937472343665744,0.9940573801999387,-0.029325794290644098,0.0
DPO_n20_displacement10,0.0042704957776312025,0.40000000000000013,0.5145631067961165,-0.009244714070750358,0.995016091198365,0.01962979717904366,0.0
DPO_n30_displacement5,0.005404595924147886,0.19999999999999996,0.5145631067961165,9.314407707236545e-05,0.9958219465085822,3.549127252881285e-05,0.0
DPO_n30_displacement10,-0.03694221945822597,0.8,0.5036496350364963,-0.021172634724422237,0.995454530003329,0.04354625098228551,0.0
DPO_n50_displacement10,-0.06112373831447655,0.5999999999999999,0.5073170731707317,0.005376728618916603,0.9968220247113526,-0.009937197902461531,0.0
DPO_n50_displacement20,-0.0835062641779846,0.8,0.5219512195121951,0.014309316556122397,0.9961360879349885,-0.02878394304269426,0.0
DPO_n50_displacement30,-0.031899689307070954,-0.40000000000000013,0.5061124694376528,0.026873138944161327,0.9967711992567097,-0.05392439485669184,0.0
DPO_n100_displacement20,0.002605568424569898,-0.40000000000000013,0.5208845208845209,-0.007393121837692812,0.9979676907681021,0.014807069660586206,0.0
DPO_n100_displacement30,-0.01268520471201587,-0.40000000000000013,0.5147783251231527,0.01080591069270081,0.9972381485632205,-0.021060327296890603,0.0
DPO_n100_displacement50,-0.02235960422372955,-0.6000000000000001,0.5185185185185185,-0.008740682806501275,0.9972885007951368,0.016201083882808425,0.0
