,Momentum2_2_3,Momentum2_2_5,Momentum2_2_10,Momentum2_3_5,Momentum2_3_15,Momentum2_3_20,Momentum2_5_8,Momentum2_5_10,Momentum2_5_30,Momentum2_10_30
Momentum2_2_3,1.0,0.9536043419277154,0.7774082804769403,0.8766228082037456,0.5523679636843769,0.47817430404157646,0.583525902729824,0.5162103001929399,0.2899253391066672,0.18987745158553268
Momentum2_2_5,0.9536043419277154,1.0,0.9157457440129412,0.9796502840874148,0.7328130537057791,0.6553595548519046,0.7744021863547078,0.7116223157852551,0.4528806862552277,0.3302703724245179
Momentum2_2_10,0.7774082804769403,0.9157457440129412,1.0,0.9630875691394045,0.9369141723195351,0.8815191592462198,0.958597924511675,0.9291982758484564,0.7060709258058255,0.5780920909155013
Momentum2_3_5,0.8766228082037456,0.9796502840874148,0.9630875691394045,1.0,0.8202781956615467,0.7436656936336149,0.8683200845745943,0.811599867636666,0.5397094573942836,0.4063404578063096
Momentum2_3_15,0.5523679636843769,0.7328130537057791,0.9369141723195351,0.8202781956615467,1.0,0.9868811609731916,0.9808312573423689,0.9921518663959608,0.8833654509495015,0.7804740453404858
Momentum2_3_20,0.47817430404157646,0.6553595548519046,0.8815191592462198,0.7436656936336149,0.9868811609731916,1.0,0.9400348610081539,0.96787358483468,0.9459249184919174,0.8677105438755424
Momentum2_5_8,0.583525902729824,0.7744021863547078,0.958597924511675,0.8683200845745943,0.9808312573423689,0.9400348610081539,1.0,0.9922489835427961,0.7920916679323944,0.6651872602376497
Momentum2_5_10,0.5162103001929399,0.7116223157852551,0.9291982758484564,0.811599867636666,0.9921518663959608,0.96787358483468,0.9922489835427961,1.0,0.8477479752102606,0.7328700196074968
Momentum2_5_30,0.2899253391066672,0.4528806862552277,0.7060709258058255,0.5397094573942836,0.8833654509495015,0.9459249184919174,0.7920916679323944,0.8477479752102606,1.0,0.9802728378318156
Momentum2_10_30,0.18987745158553268,0.3302703724245179,0.5780920909155013,0.4063404578063096,0.7804740453404858,0.8677105438755424,0.6651872602376497,0.7328700196074968,0.9802728378318156,1.0
