,StablecoinFlow_increase_0.0005,StablecoinFlow_increase_0.001,StablecoinFlow_increase_0.0015,StablecoinFlow_increase_0.002,StablecoinFlow_increase_0.0025,StablecoinFlow_increase_0.003,StablecoinFlow_increase_0.0035,StablecoinFlow_increase_0.004,StablecoinFlow_increase_0.0045,StablecoinFlow_increase_0.005,StablecoinFlow_increase_0.0055,StablecoinFlow_increase_0.006,StablecoinFlow_increase_0.0065,StablecoinFlow_increase_0.007,StablecoinFlow_increase_0.0075,StablecoinFlow_increase_0.008,StablecoinFlow_increase_0.0085,StablecoinFlow_increase_0.009,StablecoinFlow_increase_0.0095,StablecoinFlow_increase_0.01
StablecoinFlow_increase_0.0005,1.0,0.8573409806179683,0.7745966692414832,0.7454545454545453,0.7454545454545453,0.6895691538761924,0.5807479041390408,0.5619794440390039,0.5265722652357072,0.4661485060667071,0.42426406871192857,0.39664016447448874,0.39664016447448874,0.34641016151377546,0.34641016151377546,0.34641016151377546,0.34641016151377546,0.28978467053918355,0.24494897427831785,0.24494897427831785
StablecoinFlow_increase_0.001,0.8573409806179683,1.0,0.8974236053931156,0.8583942250659027,0.8583942250659027,0.7902295300751868,0.669472273970626,0.6440148163219477,0.6063503057488069,0.5358458994691049,0.4915391523114243,0.45454001099053715,0.45454001099053715,0.4013400372543907,0.4013400372543907,0.4013400372543907,0.4013400372543907,0.34219195689267884,0.2837902619042413,0.2837902619042413
StablecoinFlow_increase_0.0015,0.7745966692414832,0.8974236053931156,1.0,0.9506413667963663,0.9506413667963663,0.870877124680707,0.7422448971548711,0.7097403351110759,0.6715116045546397,0.592392084655817,0.5477225575051661,0.5009285059065213,0.5009285059065213,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.38849926257154416,0.31622776601683794,0.31622776601683794
StablecoinFlow_increase_0.002,0.7454545454545453,0.8583942250659027,0.9506413667963663,1.0,1.0,0.913065875685868,0.7813699073870731,0.7441229792611319,0.7063774289747291,0.6224141984413418,0.5785419118799026,0.5251954746994218,0.5251954746994218,0.47237749297333026,0.47237749297333026,0.47237749297333026,0.47237749297333026,0.4154255766470813,0.33402132856134253,0.33402132856134253
StablecoinFlow_increase_0.0025,0.7454545454545453,0.8583942250659027,0.9506413667963663,1.0,1.0,0.913065875685868,0.7813699073870731,0.7441229792611319,0.7063774289747291,0.6224141984413418,0.5785419118799026,0.5251954746994218,0.5251954746994218,0.47237749297333026,0.47237749297333026,0.47237749297333026,0.47237749297333026,0.4154255766470813,0.33402132856134253,0.33402132856134253
StablecoinFlow_increase_0.003,0.6895691538761924,0.7902295300751868,0.870877124680707,0.913065875685868,0.913065875685868,1.0,0.8575192462161795,0.8149718427513994,0.7749255913880475,0.6824083536622586,0.6359987280038157,0.5751999813867873,0.5751999813867873,0.5192907868894985,0.5192907868894985,0.5192907868894985,0.5192907868894985,0.4594674479034189,0.36719403681726265,0.36719403681726265
StablecoinFlow_increase_0.0035,0.5807479041390408,0.669472273970626,0.7422448971548711,0.7813699073870731,0.7813699073870731,0.8575192462161795,1.0,0.9542727758187107,0.9043645342408003,0.7973395898769609,0.7391714061178637,0.6735173586313423,0.6735173586313423,0.6035309258147752,0.6035309258147752,0.6035309258147752,0.6035309258147752,0.5275301909800442,0.42676081029942275,0.42676081029942275
StablecoinFlow_increase_0.004,0.5619794440390039,0.6440148163219477,0.7097403351110759,0.7441229792611319,0.7441229792611319,0.8149718427513994,0.9542727758187107,1.0,0.9492751180404594,0.8364399646135919,0.777481583023224,0.7057912325472173,0.7057912325472173,0.6348110542727384,0.6348110542727384,0.6348110542727384,0.6348110542727384,0.5582754305740876,0.44887920124843483,0.44887920124843483
StablecoinFlow_increase_0.0045,0.5265722652357072,0.6063503057488069,0.6715116045546397,0.7063774289747291,0.7063774289747291,0.7749255913880475,0.9043645342408003,0.9492751180404594,1.0,0.8816572960220235,0.8173378965356998,0.7447410122033914,0.7447410122033914,0.6673535979840582,0.6673535979840582,0.6673535979840582,0.6673535979840582,0.5833158765153228,0.4718902545837687,0.4718902545837687
StablecoinFlow_increase_0.005,0.4661485060667071,0.5358458994691049,0.592392084655817,0.6224141984413418,0.6224141984413418,0.6824083536622586,0.7973395898769609,0.8364399646135919,0.8816572960220235,1.0,0.9270471647242884,0.8447057780427965,0.8447057780427965,0.756930840356124,0.756930840356124,0.756930840356124,0.756930840356124,0.6616129409320416,0.5352309301050473,0.5352309301050473
StablecoinFlow_increase_0.0055,0.42426406871192857,0.4915391523114243,0.5477225575051661,0.5785419118799026,0.5785419118799026,0.6359987280038157,0.7391714061178637,0.777481583023224,0.8173378965356998,0.9270471647242884,1.0,0.9145661412745385,0.9145661412745385,0.8164965809277259,0.8164965809277259,0.8164965809277259,0.8164965809277259,0.7092993656151907,0.5773502691896257,0.5773502691896257
StablecoinFlow_increase_0.006,0.39664016447448874,0.45454001099053715,0.5009285059065213,0.5251954746994218,0.5251954746994218,0.5751999813867873,0.6735173586313423,0.7057912325472173,0.7447410122033914,0.8447057780427965,0.9145661412745385,1.0,1.0,0.8960881528595094,0.8960881528595094,0.8960881528595094,0.8960881528595094,0.7832466145372117,0.6336300094278865,0.6336300094278865
StablecoinFlow_increase_0.0065,0.39664016447448874,0.45454001099053715,0.5009285059065213,0.5251954746994218,0.5251954746994218,0.5751999813867873,0.6735173586313423,0.7057912325472173,0.7447410122033914,0.8447057780427965,0.9145661412745385,1.0,1.0,0.8960881528595094,0.8960881528595094,0.8960881528595094,0.8960881528595094,0.7832466145372117,0.6336300094278865,0.6336300094278865
StablecoinFlow_increase_0.007,0.34641016151377546,0.4013400372543907,0.4472135954999579,0.47237749297333026,0.47237749297333026,0.5192907868894985,0.6035309258147752,0.6348110542727384,0.6673535979840582,0.756930840356124,0.8164965809277259,0.8960881528595094,0.8960881528595094,1.0,1.0,1.0,1.0,0.8687107603185122,0.7071067811865475,0.7071067811865475
