,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
StablecoinFlow_increase_0.0005,0.2409818045852958,2.0,0.7058823529411765,0.1111111111111111,0.7856742013183862,-0.20369224959329885,0.37037037037037035
StablecoinFlow_increase_0.001,0.23330457743640406,2.0,0.76,0.05555555555555555,0.6781419786518722,-0.07014129075857799,0.5370370370370371
StablecoinFlow_increase_0.0015,0.1940953292051542,1.8,0.75,0.0,0.6085806194501846,0.0,0.6296296296296297
StablecoinFlow_increase_0.002,0.13932659756424873,0.5999999999999999,0.7222222222222222,-0.037037037037037035,0.5761610809668165,-0.0005465607212444845,0.6666666666666666
StablecoinFlow_increase_0.0025,0.13932659756424873,0.5999999999999999,0.7222222222222222,-0.037037037037037035,0.5761610809668165,-0.0005465607212444845,0.6666666666666666
StablecoinFlow_increase_0.003,0.1244490699631445,1.8,0.8,-0.05555555555555555,0.5241100628920335,-0.06861743634742994,0.7222222222222222
StablecoinFlow_increase_0.0035,0.18219934658128334,1.8,0.8181818181818182,-0.018518518518518517,0.45095539488466374,-0.08093339571079627,0.7962962962962963
StablecoinFlow_increase_0.004,0.15161914242691027,1.8,0.8,-0.037037037037037035,0.4287347001033416,-0.2162180138196891,0.8148148148148148
StablecoinFlow_increase_0.0045,0.11374573251198268,0.5999999999999999,0.7777777777777778,-0.018518518518518517,0.4078280656582452,-0.140627973659056,0.8333333333333334
StablecoinFlow_increase_0.005,0.17246668102401053,0.3999999999999999,0.8571428571428571,-0.018518518518518517,0.3595645896101407,-0.2507346158523358,0.8703703703703703
StablecoinFlow_increase_0.0055,0.24657377951090234,1.6,1.0,0.0,0.3333333333333333,0.0,0.8888888888888888
StablecoinFlow_increase_0.006,0.22649829581328704,1.4,1.0,-0.018518518518518517,0.30372628642327265,-0.49155674259063487,0.9074074074074074
StablecoinFlow_increase_0.0065,0.22649829581328704,1.4,1.0,-0.018518518518518517,0.30372628642327265,-0.49155674259063487,0.9074074074074074
StablecoinFlow_increase_0.007,0.24726575332730866,1.2000000000000002,1.0,0.0,0.2721655269759087,0.0,0.9259259259259259
StablecoinFlow_increase_0.0075,0.24726575332730866,1.2000000000000002,1.0,0.0,0.2721655269759087,0.0,0.9259259259259259
StablecoinFlow_increase_0.008,0.24726575332730866,1.2000000000000002,1.0,0.0,0.2721655269759087,0.0,0.9259259259259259
StablecoinFlow_increase_0.0085,0.24726575332730866,1.2000000000000002,1.0,0.0,0.2721655269759087,0.0,0.9259259259259259
StablecoinFlow_increase_0.009,0.12985356526269332,1.2000000000000002,1.0,0.018518518518518517,0.23497365815647261,1.224774759244615,0.9444444444444444
StablecoinFlow_increase_0.0095,0.11882348451143776,1.2000000000000002,1.0,0.0,0.19245008972987526,0.0,0.9629629629629629
StablecoinFlow_increase_0.01,0.11882348451143776,1.2000000000000002,1.0,0.0,0.19245008972987526,0.0,0.9629629629629629
