,bang01_5_1.0_RSI_9,bang01_10_1.0_RSI_9,bang01_20_1.0_RSI_9,bang01_30_1.0_RSI_9,bang01_50_1.0_RSI_9,bang01_100_1.0_RSI_9,bang01_5_1.0_RSI_14,bang01_10_1.0_RSI_14,bang01_20_1.0_RSI_14,bang01_30_1.0_RSI_14,bang01_50_1.0_RSI_14,bang01_100_1.0_RSI_14
bang01_5_1.0_RSI_9,1.0,0.6978732494543252,0.5093223137082958,0.4727414670388685,0.45421347414767044,0.4439293002005714,0.760207929481931,0.622556977204578,0.5163351689258568,0.43931992726064756,0.3939412758234228,0.4099871648349655
bang01_10_1.0_RSI_9,0.6978732494543252,1.0,0.7288734940305733,0.6164229388804169,0.5454135109547242,0.45722234429721725,0.6318365141050154,0.8375240438395447,0.6796385875964762,0.5808132378116002,0.47838144948297456,0.4380779564388762
bang01_20_1.0_RSI_9,0.5093223137082958,0.7288734940305733,1.0,0.8194755698883773,0.719351603106208,0.5632713552056793,0.5272226895919334,0.7118668636731214,0.8483341659518354,0.7485199931766273,0.6512485460546201,0.5678714388434682
bang01_30_1.0_RSI_9,0.4727414670388685,0.6164229388804169,0.8194755698883773,1.0,0.8340459136630792,0.6360430124297745,0.4719225225100811,0.5996565091580286,0.7842042248647314,0.8218367531919806,0.7475261152908991,0.6451774359182137
bang01_50_1.0_RSI_9,0.45421347414767044,0.5454135109547242,0.719351603106208,0.8340459136630792,1.0,0.7459340336516944,0.4363154357460948,0.5373394885454119,0.672210681562114,0.7445976312509596,0.8393145713990244,0.7146445209378671
bang01_100_1.0_RSI_9,0.4439293002005714,0.45722234429721725,0.5632713552056793,0.6360430124297745,0.7459340336516944,1.0,0.3809169405038925,0.42473978042437444,0.5493376876619585,0.6069901734936272,0.7132385935201347,0.8560519491623991
bang01_5_1.0_RSI_14,0.760207929481931,0.6318365141050154,0.5272226895919334,0.4719225225100811,0.4363154357460948,0.3809169405038925,1.0,0.6602806403456022,0.5605367861954863,0.485361578295025,0.4564875157820619,0.39992319199222315
bang01_10_1.0_RSI_14,0.622556977204578,0.8375240438395447,0.7118668636731214,0.5996565091580286,0.5373394885454119,0.42473978042437444,0.6602806403456022,1.0,0.7282914675111718,0.6390612497209506,0.5351168174994946,0.4629926963068343
bang01_20_1.0_RSI_14,0.5163351689258568,0.6796385875964762,0.8483341659518354,0.7842042248647314,0.672210681562114,0.5493376876619585,0.5605367861954863,0.7282914675111718,1.0,0.8188187704259509,0.698183214375047,0.6185005911367738
bang01_30_1.0_RSI_14,0.43931992726064756,0.5808132378116002,0.7485199931766273,0.8218367531919806,0.7445976312509596,0.6069901734936272,0.485361578295025,0.6390612497209506,0.8188187704259509,1.0,0.7955778275959946,0.6786006804230564
bang01_50_1.0_RSI_14,0.3939412758234228,0.47838144948297456,0.6512485460546201,0.7475261152908991,0.8393145713990244,0.7132385935201347,0.4564875157820619,0.5351168174994946,0.698183214375047,0.7955778275959946,1.0,0.7897712468163044
bang01_100_1.0_RSI_14,0.4099871648349655,0.4380779564388762,0.5678714388434682,0.6451774359182137,0.7146445209378671,0.8560519491623991,0.39992319199222315,0.4629926963068343,0.6185005911367738,0.6786006804230564,0.7897712468163044,1.0
