,bang02_short5_long10,bang02_short5_long20,bang02_short5_long30,bang02_short5_long40,bang02_short10_long15,bang02_short10_long20,bang02_short10_long30,bang02_short10_long40,bang02_short10_long50,bang02_short20_long25,bang02_short20_long30,bang02_short20_long40,bang02_short20_long45,bang02_short20_long50
bang02_short5_long10,1.0,0.7453937997697213,0.6721773022116534,0.6244973123800791,0.6287429370216118,0.5341135838036533,0.5343594519306439,0.47111612254422325,0.44773622474643054,0.364056855118596,0.36808893888769284,0.3301897532146698,0.35037586254519837,0.37309645045907236
bang02_short5_long20,0.7453937997697213,1.0,0.8751458226245487,0.8390335801536178,0.7298908825374585,0.6979860671270356,0.6835966464760218,0.6126589577073511,0.581697643422742,0.547879968513989,0.5645813687729181,0.5117106124276599,0.5034684993370092,0.5049398649937406
bang02_short5_long30,0.6721773022116534,0.8751458226245487,1.0,0.9397071384997056,0.648057552082591,0.698488345340877,0.7545416147016599,0.6913478893418097,0.660858548980145,0.6358150693816591,0.6649138489353649,0.6008420857284262,0.5718330787281067,0.5732135479083569
bang02_short5_long40,0.6244973123800791,0.8390335801536178,0.9397071384997056,1.0,0.6313122078829239,0.6803094774928845,0.7241053176311406,0.7156884133076843,0.6854563004418079,0.5983766272055326,0.6374890146288269,0.6247318089014399,0.5955769473879814,0.5968269471602023
bang02_short10_long15,0.6287429370216118,0.7298908825374585,0.648057552082591,0.6313122078829239,1.0,0.8460564588569344,0.7710197774014429,0.6866259788997596,0.6494274188037831,0.5228603088779916,0.5387990177192071,0.5073761768560012,0.4996460195165998,0.4818811216834947
bang02_short10_long20,0.5341135838036533,0.6979860671270356,0.698488345340877,0.6803094774928845,0.8460564588569344,1.0,0.881296441094271,0.760882879347837,0.7337962870146837,0.6352914832617631,0.6144429968359404,0.5621795649093658,0.5543176413888047,0.5252813747986929
bang02_short10_long30,0.5343594519306439,0.6835966464760218,0.7545416147016599,0.7241053176311406,0.7710197774014429,0.881296441094271,1.0,0.8650044137249109,0.8391928956254612,0.7207871498474071,0.7206414442627869,0.6579162062855051,0.6504458786257437,0.6194182971667718
bang02_short10_long40,0.47111612254422325,0.6126589577073511,0.6913478893418097,0.7156884133076843,0.6866259788997596,0.760882879347837,0.8650044137249109,1.0,0.9405930823340417,0.6848659090567071,0.7366005245187861,0.7586943646420486,0.7516162905354167,0.7078066965447656
bang02_short10_long50,0.44773622474643054,0.581697643422742,0.660858548980145,0.6854563004418079,0.6494274188037831,0.7337962870146837,0.8391928956254612,0.9405930823340417,1.0,0.67842579156952,0.6985936259778093,0.7530637498537406,0.7455452099168364,0.7341324982918488
bang02_short20_long25,0.364056855118596,0.547879968513989,0.6358150693816591,0.5983766272055326,0.5228603088779916,0.6352914832617631,0.7207871498474071,0.6848659090567071,0.67842579156952,1.0,0.9201153532068137,0.8216547134087997,0.7963458099453664,0.7647603197445177
bang02_short20_long30,0.36808893888769284,0.5645813687729181,0.6649138489353649,0.6374890146288269,0.5387990177192071,0.6144429968359404,0.7206414442627869,0.7366005245187861,0.6985936259778093,0.9201153532068137,1.0,0.8822063276116228,0.8369589867922022,0.8044767895610303
bang02_short20_long40,0.3301897532146698,0.5117106124276599,0.6008420857284262,0.6247318089014399,0.5073761768560012,0.5621795649093658,0.6579162062855051,0.7586943646420486,0.7530637498537406,0.8216547134087997,0.8822063276116228,1.0,0.943825689290534,0.909294079516432
bang02_short20_long45,0.35037586254519837,0.5034684993370092,0.5718330787281067,0.5955769473879814,0.4996460195165998,0.5543176413888047,0.6504458786257437,0.7516162905354167,0.7455452099168364,0.7963458099453664,0.8369589867922022,0.943825689290534,1.0,0.9543898547743688
bang02_short20_long50,0.37309645045907236,0.5049398649937406,0.5732135479083569,0.5968269471602023,0.4818811216834947,0.5252813747986929,0.6194182971667718,0.7078066965447656,0.7341324982918488,0.7647603197445177,0.8044767895610303,0.909294079516432,0.9543898547743688,1.0
