,bang03_5_1.0_DPO_20_5,bang03_5_1.0_DPO_20_10,bang03_5_1.0_DPO_30_5,bang03_5_1.0_DPO_30_10,bang03_5_1.0_DPO_30_20,bang03_5_1.0_DPO_50_10,bang03_5_1.0_DPO_50_20,bang03_5_1.0_DPO_50_30,bang03_5_1.0_DPO_50_40,bang03_10_1.0_DPO_20_5,bang03_10_1.0_DPO_20_10,bang03_10_1.0_DPO_30_5,bang03_10_1.0_DPO_30_10,bang03_10_1.0_DPO_30_20,bang03_10_1.0_DPO_50_10,bang03_10_1.0_DPO_50_20,bang03_10_1.0_DPO_50_30,bang03_10_1.0_DPO_50_40,bang03_20_1.0_DPO_20_5,bang03_20_1.0_DPO_20_10,bang03_20_1.0_DPO_30_5,bang03_20_1.0_DPO_30_10,bang03_20_1.0_DPO_30_20,bang03_20_1.0_DPO_50_10,bang03_20_1.0_DPO_50_20,bang03_20_1.0_DPO_50_30,bang03_20_1.0_DPO_50_40
bang03_5_1.0_DPO_20_5,1.0,0.971771472101379,0.9715789255583234,0.915341655035287,0.8668262249801023,0.8801032683948774,0.8336584824300244,0.797810911642097,0.7652851639257454,0.6647125914086659,0.6615262243152417,0.6647125914086657,0.6615262243152412,0.6644430598444147,0.6579676165728389,0.658990541471244,0.6515373167601521,0.6233035174326641,0.46864453326762845,0.4842965939973495,0.5049915083120322,0.49337110704993503,0.49290495218580055,0.4870973027533895,0.48286645109346865,0.4951086293847357,0.47260653047620066
bang03_5_1.0_DPO_20_10,0.971771472101379,1.0,0.9771233803555183,0.9431962120360857,0.8828178260498825,0.8965650304163121,0.8494095351962091,0.813527741043148,0.780539162717604,0.6579246281424413,0.6655204377317561,0.6579246281424416,0.665520437731756,0.6575116782110836,0.6511586673331701,0.6524545862985593,0.6554457275787648,0.6373617526252641,0.4616770838190544,0.48742345021343436,0.49808161733114575,0.4966052583445695,0.4960873881822215,0.4903567834252926,0.4859910270226777,0.49839422820849677,0.4855688765814693
bang03_5_1.0_DPO_30_5,0.9715789255583234,0.9771233803555183,1.0,0.9312753217927943,0.8819487803299353,0.8953756378264404,0.8482644671126581,0.8117468015161412,0.7786286588811946,0.6651062779642714,0.6727378085786947,0.6760044810465635,0.6727378085786946,0.675701062083751,0.6690629970674806,0.6701620478941032,0.673287579439746,0.6442236402190606,0.4561326506397888,0.47223327870086595,0.49285914384660306,0.4810385265443848,0.49083862849625415,0.4845174644612935,0.48062721180291496,0.4931536575935336,0.47039228920933585
bang03_5_1.0_DPO_30_10,0.915341655035287,0.9431962120360857,0.9312753217927943,1.0,0.9386198132713893,0.9426021703894072,0.8939255304566445,0.8586195835271835,0.8024456209691689,0.6584177882114448,0.6660659643608101,0.658417788211445,0.687516863563095,0.679960963773813,0.6626487687013415,0.6635042847248274,0.6770614768828088,0.6584738549455166,0.4624809047327902,0.47830570042235443,0.48871364250251503,0.4975228017605385,0.5070058402658278,0.49139562491362676,0.4969067054568375,0.5093312140938346,0.506184554874917
bang03_5_1.0_DPO_30_20,0.8668262249801023,0.8828178260498825,0.8819487803299353,0.9386198132713893,1.0,0.9722256419706224,0.9560212516621487,0.9110504485297327,0.832371331035857,0.6583295913585373,0.6658244962341474,0.6689304645916155,0.6974709707021284,0.7335588932215669,0.7052751877332329,0.7148030234396324,0.7180161067767098,0.6781281831534252,0.4847325986887702,0.4902777781462992,0.5109029533975791,0.519531664998099,0.5486565720632481,0.5246531957499722,0.5486565720632481,0.5502307147036114,0.5370822140025581
bang03_5_1.0_DPO_50_10,0.8801032683948774,0.8965650304163121,0.8953756378264404,0.9426021703894072,0.9722256419706224,1.0,0.9497833036725652,0.9030202120085443,0.8340860718051318,0.6546343057501338,0.6515249645529115,0.6546343057501344,0.684064533717087,0.7094078022033252,0.7025392542735797,0.7025353497463818,0.7057627360112126,0.6655055983197065,0.4670169544249799,0.47299156882934784,0.49358634086080105,0.5023491168004546,0.5222515331322197,0.527573031833533,0.5426778094398944,0.5443516792014759,0.5311635826164199
bang03_5_1.0_DPO_50_20,0.8336584824300244,0.8494095351962091,0.8482644671126581,0.8939255304566445,0.9560212516621487,0.9497833036725652,1.0,0.9555863652995168,0.8757271793943762,0.648311742487673,0.6453580664924076,0.6483117424876728,0.6770180071877338,0.712688419142717,0.7060390335057651,0.7258031811312343,0.729018121548031,0.688912502297287,0.4757558560803176,0.4716197257513885,0.4917891329906321,0.500634290120392,0.5296880064246565,0.5359967101986669,0.5694362091906175,0.5708681795353512,0.5574643110026204
bang03_5_1.0_DPO_50_30,0.797810911642097,0.813527741043148,0.8117468015161412,0.8586195835271835,0.9110504485297327,0.9030202120085443,0.9555863652995168,1.0,0.9183018630811852,0.6442562401061089,0.6519402619248983,0.6442562401061092,0.6626071104581516,0.7090980721572462,0.6916046590315106,0.7228004740170831,0.7470635231375213,0.7061431754860892,0.4802008555785476,0.4760260812749795,0.4964464732243528,0.49519289119513615,0.5246632543840501,0.5305231877138022,0.5748830331954337,0.5860322002480332,0.5725784506950875
bang03_5_1.0_DPO_50_40,0.7652851639257454,0.780539162717604,0.7786286588811946,0.8024456209691689,0.832371331035857,0.8340860718051318,0.8757271793943762,0.9183018630811852,1.0,0.64746625534139,0.644437704541557,0.6370378772791688,0.6548148811141049,0.6896624842010185,0.6830831744989132,0.7131733311004194,0.7368495912919274,0.7265211941058654,0.4474633873933437,0.4627743258809581,0.4728443049251163,0.4813674162608364,0.5003137241279557,0.5056188721084904,0.5491697203985877,0.560086346542663,0.5758071753337333
bang03_10_1.0_DPO_20_5,0.6647125914086659,0.6579246281424413,0.6651062779642714,0.6584177882114448,0.6583295913585373,0.6546343057501338,0.648311742487673,0.6442562401061089,0.64746625534139,1.0,0.9339648923677981,0.9489342806394313,0.9238018932235975,0.8808235233245462,0.9128204238977312,0.8757749015867227,0.8600504818167505,0.8357789853418356,0.6715006599503982,0.6562603604287672,0.6708815397177724,0.6585064632707153,0.6487863121563551,0.6476791478463442,0.6487863121563551,0.6471794817083493,0.6254047814362506
