,weilun01_3_2,weilun01_5_2,weilun01_10_2,weilun01_20_2,weilun01_50_2,weilun01_100_2,weilun01_200_2,weilun01_300_2,weilun01_3_1,weilun01_5_1,weilun01_10_1,weilun01_20_1,weilun01_50_1,weilun01_100_1,weilun01_200_1,weilun01_300_1,weilun01_3_0.7,weilun01_5_0.7,weilun01_10_0.7,weilun01_20_0.7,weilun01_50_0.7,weilun01_100_0.7,weilun01_200_0.7,weilun01_300_0.7,weilun01_3_0.3,weilun01_5_0.3,weilun01_10_0.3,weilun01_20_0.3,weilun01_50_0.3,weilun01_100_0.3,weilun01_200_0.3,weilun01_300_0.3
weilun01_3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weilun01_5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weilun01_10_2,,,1.0,0.4708345414785327,0.38412429594378655,0.5158566837688077,0.257741241177756,0.3327961321514909,0.15268426338158048,0.1789266080222098,0.20111669231886803,0.15168068408934163,0.17491271857027718,0.1727689604843237,0.18658224352927122,0.1822285618407813,0.11348555332960278,0.14065928909004313,0.1617114265006686,0.11761974274371055,0.12992139395905986,0.1331269665361001,0.13416771394540114,0.13288052626763244,0.10960599757999748,0.12133513989219834,0.12653798750469167,0.1328845111071188,0.08992440991540386,0.13934879779989975,0.09495263899150899,0.09418868193733647
weilun01_20_2,,,0.4708345414785327,1.0,0.8161672820311204,0.7298256250777607,0.5474136208621977,0.47083454147853243,0.18004163613810434,0.25314244760542326,0.2370373592085648,0.2682441983424486,0.30985705822051857,0.3061345577968975,0.33028725107681217,0.3224235592785241,0.16055751045224917,0.16548455902893275,0.1906862512520039,0.20810884810684252,0.23009875816280392,0.23589170715111993,0.2376774741774465,0.23557106598446625,0.15506877823442894,0.14319003173973094,0.14896877730767194,0.15646589650129633,0.127223588917715,0.16410409912676446,0.13433744542858123,0.13325661144476889
weilun01_50_2,,,0.38412429594378655,0.8161672820311204,1.0,0.7446337481515319,0.596068714247793,0.3841242959437868,0.20590196371045844,0.2752480298096269,0.3098267361665627,0.30675237454169235,0.3541666836316748,0.40028865997434826,0.3775974355597585,0.31588377003731705,0.19672132660437527,0.21644728903833524,0.21807552090482146,0.237951297186091,0.2630213193995209,0.26960538214671553,0.2716654036761424,0.23034150726951955,0.1899963177260964,0.18707073541424415,0.17024746311482597,0.15306782829942178,0.1296459587841432,0.1605795700392627,0.1368614429570864,0.135488924196247
weilun01_100_2,,,0.5158566837688077,0.7298256250777607,0.7446337481515319,1.0,0.39951648802183337,0.5158566837688074,0.1581307862923467,0.22898788448038562,0.20766211440024532,0.23540038522536955,0.27029803255629437,0.2668203300780129,0.28886292678502923,0.21159322893713337,0.1478932336295057,0.14360628584262897,0.16747996459268852,0.18231861664152796,0.20089523981397023,0.2055981644727778,0.20733351701606983,0.15277684968449962,0.14337227655835186,0.1262915688723061,0.12972564109064608,0.10177787671412437,0.10364728428981822,0.10690519930061983,0.10930658106962061,0.10733380405535715
weilun01_200_2,,,0.257741241177756,0.5474136208621977,0.596068714247793,0.39951648802183337,1.0,0.7744718651370339,0.1576345108259925,0.18536765342061196,0.2597661827160288,0.2936810557798345,0.34039494820465804,0.33646986520748107,0.3623089494816423,0.35333981736525877,0.11690813562972942,0.18232930323282612,0.20866774549372358,0.22806380075546792,0.2526528446673917,0.2592665508915121,0.26110172211881005,0.2591677161111255,0.14066949028020503,0.1563165655107931,0.16381040484159842,0.17197032404386842,0.17512899306842583,0.18027734027821485,0.1850575358137493,0.18465984218357642
weilun01_300_2,,,0.3327961321514909,0.47083454147853243,0.3841242959437868,0.5158566837688074,0.7744718651370339,1.0,0.10183045401716032,0.11850604054978338,0.201116692318868,0.22752102613401254,0.2631147471794063,0.2599962161434822,0.28032623481703606,0.2735634584534732,0.07601903093848986,0.14065928909004308,0.16171142650066844,0.17657201089854865,0.19535625660997316,0.20033984964091167,0.20182354046598103,0.20013301755711885,0.10960599757999734,0.12133513989219832,0.12653798750469156,0.13288451110711874,0.13532527053122992,0.13934879779989987,0.14295067628392003,0.14227020391274614
weilun01_3_1,,,0.15268426338158048,0.18004163613810434,0.20590196371045844,0.1581307862923467,0.1576345108259925,0.10183045401716032,1.0,0.5714023879859559,0.47089615424422876,0.46243980076540014,0.39014373815267855,0.4257545464186405,0.428844133060425,0.4316791172136985,0.7365978234254242,0.6430652099222638,0.599340107525917,0.5032930583406854,0.5188340782056732,0.5022440158187297,0.5158423299586312,0.49233763630437366,0.7079496263581583,0.6441642712910729,0.6154263591034692,0.5709967767699767,0.5607220437596909,0.5911505470747133,0.5708658143093563,0.5720003738554238
weilun01_5_1,,,0.1789266080222098,0.25314244760542326,0.2752480298096269,0.22898788448038562,0.18536765342061196,0.11850604054978338,0.5714023879859559,1.0,0.6192905911164531,0.5494352445429601,0.47492164185410046,0.4848606719890359,0.4218381555481811,0.42881829393082077,0.6138670149670176,0.7594593509384224,0.6539603291089947,0.5650655043657971,0.5068571230398391,0.5196887011704877,0.5235870976446211,0.5068729780350892,0.5720031462531441,0.5484417770346441,0.5667610520524176,0.5384952169353986,0.5812772859855864,0.5984022877856214,0.5881139429072244,0.5690277997272524
weilun01_10_1,,,0.20111669231886803,0.2370373592085648,0.3098267361665627,0.20766211440024532,0.2597661827160288,0.201116692318868,0.47089615424422876,0.6192905911164531,1.0,0.6563975519743159,0.6030086477345115,0.6138166295490848,0.5656959639053066,0.5697197444877914,0.48307523835419947,0.647921992818694,0.6830334694300456,0.6287752290420564,0.6186390774580401,0.6217897243111928,0.5851001342055616,0.5949523414182972,0.464549478356294,0.49443216494033926,0.46142417789559026,0.511137862350585,0.5022497301744973,0.5074070887418987,0.5019515066820412,0.5024505476170837
weilun01_20_1,,,0.15168068408934163,0.2682441983424486,0.30675237454169235,0.23540038522536955,0.2936810557798345,0.22752102613401254,0.46243980076540014,0.5494352445429601,0.6563975519743159,1.0,0.76196301898604,0.7138820023362943,0.6819697984615141,0.6644440905471689,0.4343954659884725,0.5709058186555487,0.661203895967429,0.7505165428761693,0.7735426469180514,0.7334415099358181,0.6767520872203069,0.6727175794250475,0.42573483028549086,0.47582517719686407,0.5022653919538805,0.49662359316773097,0.4954240054028158,0.4991214004226392,0.5128531887591652,0.5246759616406375
weilun01_50_1,,,0.17491271857027718,0.30985705822051857,0.3541666836316748,0.27029803255629437,0.34039494820465804,0.2631147471794063,0.39014373815267855,0.47492164185410046,0.6030086477345115,0.76196301898604,1.0,0.8501847903333332,0.8162372360897215,0.771929334154992,0.3685277335821008,0.47329407252741656,0.5413731705112412,0.6229356876272067,0.7248668024067187,0.7439622142962479,0.7312797617458437,0.7082371533533571,0.36472220243856734,0.39483281458966474,0.4251568113506369,0.4109565609838388,0.4185048154099171,0.4308077931233623,0.44223100075546756,0.4412806344205216
weilun01_100_1,,,0.1727689604843237,0.3061345577968975,0.40028865997434826,0.2668203300780129,0.33646986520748107,0.2599962161434822,0.4257545464186405,0.4848606719890359,0.6138166295490848,0.7138820023362943,0.8501847903333332,1.0,0.8069796895454281,0.7871643492713218,0.3941281043573901,0.4924526322945192,0.5495070989936346,0.6313911032827497,0.716607908083263,0.7354006479158186,0.7405888897980991,0.7175698370948262,0.3799337766544121,0.4116705447390555,0.43132582308976203,0.41784648532755553,0.425521290603189,0.4380542284804009,0.46217101199570043,0.4610313960522169
weilun01_200_1,,,0.18658224352927122,0.33028725107681217,0.3775974355597585,0.28886292678502923,0.3623089494816423,0.28032623481703606,0.428844133060425,0.4218381555481811,0.5656959639053066,0.6819697984615141,0.8162372360897215,0.8069796895454281,1.0,0.9234660731598142,0.3486545831529889,0.45102780796618447,0.5147390480167667,0.5960527859101729,0.6792737322040154,0.7162534335452938,0.7211573432927562,0.6974120102311897,0.3761986862161626,0.40783877806110047,0.4168317363893419,0.4375042783413959,0.42002436197254883,0.4454158302182125,0.443921728665237,0.4436495154686227
weilun01_300_1,,,0.1822285618407813,0.3224235592785241,0.31588377003731705,0.21159322893713337,0.35333981736525877,0.2735634584534732,0.4316791172136985,0.42881829393082077,0.5697197444877914,0.6644440905471689,0.771929334154992,0.7871643492713218,0.9234660731598142,1.0,0.34935771433529,0.4402516996997234,0.5161858399453458,0.5808909737148062,0.698166632184387,0.7353614975285278,0.7402971283677404,0.7356169419331702,0.38539329335527134,0.3970384496957676,0.4182577944223473,0.46335025382606,0.44700078547559596,0.47276945282399346,0.47250818313732534,0.4728212814402815
weilun01_3_0.7,,,0.11348555332960278,0.16055751045224917,0.19672132660437527,0.1478932336295057,0.11690813562972942,0.07601903093848986,0.7365978234254242,0.6138670149670176,0.48307523835419947,0.4343954659884725,0.3685277335821008,0.3941281043573901,0.3486545831529889,0.34935771433529,1.0,0.7097608367752106,0.6047262827966923,0.5168120151548328,0.4936562813635461,0.48486184576391844,0.4726401931007465,0.4629262371012112,0.8715301209651454,0.7270155010812444,0.6788260046961713,0.6620801307461817,0.6640430466095893,0.6568494152145083,0.6482800293322709,0.6560597684522925
