,weilun02_0.4_1.0,weilun02_0.4_1.6,weilun02_0.4_2,weilun02_0.4_3,weilun02_0.2_1.0,weilun02_0.2_1.6,weilun02_0.2_2,weilun02_0.2_3,weilun02_0.1_1.0,weilun02_0.1_1.6,weilun02_0.1_2,weilun02_0.1_3
weilun02_0.4_1.0,1.0,,,,0.2604692674027798,,,,0.2604692674027798,0.3890935930247712,-1.9260152847682566e-18,
weilun02_0.4_1.6,,,,,,,,,,,,
weilun02_0.4_2,,,,,,,,,,,,
weilun02_0.4_3,,,,,,,,,,,,
weilun02_0.2_1.0,0.2604692674027798,,,,1.0,,,,1.0,0.7136807803367934,0.3789683644799336,
weilun02_0.2_1.6,,,,,,,,,,,,
weilun02_0.2_2,,,,,,,,,,,,
weilun02_0.2_3,,,,,,,,,,,,
weilun02_0.1_1.0,0.2604692674027798,,,,1.0,,,,1.0,0.7136807803367934,0.3789683644799336,
weilun02_0.1_1.6,0.3890935930247712,,,,0.7136807803367934,,,,0.7136807803367934,1.0,0.5352309301050473,
weilun02_0.1_2,-1.9260152847682566e-18,,,,0.3789683644799336,,,,0.3789683644799336,0.5352309301050473,1.0,
weilun02_0.1_3,,,,,,,,,,,,
