timestamp,returns
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,8.0
2021-05-19,8.6
2021-05-20,11.8
2021-05-21,14.8
2021-05-22,17.8
2021-05-23,19.2
2021-05-24,22.0
2021-05-25,20.2
2021-05-26,17.0
2021-05-27,12.8
2021-05-28,10.0
2021-05-29,8.2
2021-05-30,10.0
2021-05-31,12.6
2021-06-01,13.6
2021-06-02,13.2
2021-06-03,11.4
2021-06-04,9.2
2021-06-05,8.0
2021-06-06,10.2
2021-06-07,10.8
2021-06-08,13.8
2021-06-09,15.6
2021-06-10,17.6
2021-06-11,18.2
2021-06-12,21.2
2021-06-13,21.4
2021-06-14,21.8
2021-06-15,19.2
2021-06-16,18.4
2021-06-17,16.2
2021-06-18,14.4
2021-06-19,12.0
2021-06-20,13.2
2021-06-21,13.4
2021-06-22,15.8
2021-06-23,18.0
2021-06-24,20.4
2021-06-25,20.0
2021-06-26,18.8
2021-06-27,17.8
2021-06-28,17.0
2021-06-29,14.6
2021-06-30,13.6
2021-07-01,11.8
2021-07-02,10.2
2021-07-03,8.2
2021-07-04,9.0
2021-07-05,7.8
2021-07-06,8.2
2021-07-07,6.8
2021-07-08,6.2
2021-07-09,6.4
2021-07-10,9.8
2021-07-11,12.6
2021-07-12,14.4
2021-07-13,16.0
2021-07-14,17.2
2021-07-15,16.8
2021-07-16,16.6
2021-07-17,18.0
2021-07-18,19.2
2021-07-19,19.4
2021-07-20,20.2
2021-07-21,21.2
2021-07-22,20.2
2021-07-23,16.8
2021-07-24,13.4
2021-07-25,10.8
2021-07-26,9.8
2021-07-27,11.4
2021-07-28,14.8
2021-07-29,18.0
2021-07-30,18.0
2021-07-31,16.4
2021-08-01,13.4
2021-08-02,11.8
2021-08-03,8.6
2021-08-04,7.4
2021-08-05,6.0
2021-08-06,6.6
2021-08-07,7.4
2021-08-08,9.8
2021-08-09,13.4
2021-08-10,15.8
2021-08-11,15.8
2021-08-12,13.0
2021-08-13,10.0
2021-08-14,7.0
2021-08-15,6.4
2021-08-16,6.4
2021-08-17,6.8
2021-08-18,8.6
2021-08-19,9.8
2021-08-20,10.2
2021-08-21,10.0
2021-08-22,11.2
2021-08-23,11.2
2021-08-24,11.4
2021-08-25,12.2
2021-08-26,14.6
2021-08-27,16.6
2021-08-28,17.6
2021-08-29,17.6
2021-08-30,16.0
2021-08-31,13.4
2021-09-01,10.8
2021-09-02,8.8
2021-09-03,7.6
2021-09-04,7.8
2021-09-05,8.6
2021-09-06,10.0
2021-09-07,11.6
2021-09-08,13.8
2021-09-09,15.2
2021-09-10,15.2
2021-09-11,14.2
2021-09-12,13.2
2021-09-13,13.2
2021-09-14,12.2
2021-09-15,13.4
2021-09-16,14.2
2021-09-17,15.4
2021-09-18,15.4
2021-09-19,16.2
2021-09-20,16.0
2021-09-21,17.4
2021-09-22,18.6
