,DPO_n20_displacement5,DPO_n20_displacement10,DPO_n30_displacement5,DPO_n30_displacement10,DPO_n50_displacement10,DPO_n50_displacement20,DPO_n50_displacement30,DPO_n100_displacement20,DPO_n100_displacement30,DPO_n100_displacement50
DPO_n20_displacement5,1.0,0.9062321754097387,0.8832053485347411,0.7945997115939312,0.6327895213552982,0.5244638178451176,0.4354182187124395,0.39648086676562594,0.33898018670952146,0.3124332289825722
DPO_n20_displacement10,0.9062321754097387,1.0,0.9495016726646313,0.88796074346986,0.6839100272611618,0.5771310609812064,0.4976096005718414,0.4455158171072944,0.38374404714388305,0.35089675830481515
DPO_n30_displacement5,0.8832053485347411,0.9495016726646313,1.0,0.9179963466997932,0.722949425050996,0.6149268760893076,0.530888427678477,0.4738905849617743,0.4032317402892788,0.3591863393791373
DPO_n30_displacement10,0.7945997115939312,0.88796074346986,0.9179963466997932,1.0,0.7815999972420044,0.6765254376835664,0.5930732216787351,0.5315747147900363,0.45046034629392334,0.40530214030994494
DPO_n50_displacement10,0.6327895213552982,0.6839100272611618,0.722949425050996,0.7815999972420044,1.0,0.8980456834170094,0.7843197681359645,0.6656250790815812,0.5990627383124014,0.5530771501859983
DPO_n50_displacement20,0.5244638178451176,0.5771310609812064,0.6149268760893076,0.6765254376835664,0.8980456834170094,1.0,0.8934670921140664,0.7559615334426298,0.686161641420564,0.6300478392603499
DPO_n50_displacement30,0.4354182187124395,0.4976096005718414,0.530888427678477,0.5930732216787351,0.7843197681359645,0.8934670921140664,1.0,0.8468172062151778,0.7736126059362775,0.7192109143339369
DPO_n100_displacement20,0.39648086676562594,0.4455158171072944,0.4738905849617743,0.5315747147900363,0.6656250790815812,0.7559615334426298,0.8468172062151778,1.0,0.9247933880953669,0.8561865769307435
DPO_n100_displacement30,0.33898018670952146,0.38374404714388305,0.4032317402892788,0.45046034629392334,0.5990627383124014,0.686161641420564,0.7736126059362775,0.9247933880953669,1.0,0.9423412029697242
DPO_n100_displacement50,0.3124332289825722,0.35089675830481515,0.3591863393791373,0.40530214030994494,0.5530771501859983,0.6300478392603499,0.7192109143339369,0.8561865769307435,0.9423412029697242,1.0
