,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
DPO_n20_displacement5,0.047199960293905975,1.6,0.5024271844660194,0.07290176824404655,0.9513788137861402,-0.15047204820518817,0.0
DPO_n20_displacement10,0.04738865410550145,0.5999999999999999,0.5072815533980582,0.05886004410679946,0.9614314908935426,-0.11714537932404404,0.0
DPO_n30_displacement5,0.014296750472141663,0.5999999999999999,0.5242718446601942,0.07197798786400947,0.9603389597894867,-0.1514857079397448,0.0
DPO_n30_displacement10,0.008016667360712671,-0.40000000000000013,0.5279805352798054,0.06211357551789795,0.96371043152844,-0.1290048907157983,0.0
DPO_n50_displacement10,0.010433229223448259,0.3999999999999999,0.526829268292683,0.02984904516310347,0.969040301893721,-0.06697694076166863,0.0
DPO_n50_displacement20,-0.02046279423368165,1.4,0.5439024390243903,0.01425491788018075,0.9731380757496446,-0.03328560367146756,0.0
DPO_n50_displacement30,0.02115545462109761,-0.40000000000000013,0.5158924205378973,-0.010160134077289912,0.9762664786023246,0.018663373003386583,0.0
DPO_n100_displacement20,-0.009386567903424178,0.8,0.5331695331695332,-0.05139428670183031,0.9795685974437456,0.10444737186376876,0.0
DPO_n100_displacement30,-0.0023330882439874345,0.40000000000000013,0.5295566502463054,-0.06976142911921132,0.9791800769171688,0.1461313067752628,0.0
DPO_n100_displacement50,-0.0044442103742191605,0.40000000000000013,0.5308641975308642,-0.078845650348731,0.9840093510130224,0.1625364313622911,0.0
