,Momentum2_2_3,Momentum2_2_5,Momentum2_2_10,Momentum2_3_5,Momentum2_3_15,Momentum2_3_20,Momentum2_5_8,Momentum2_5_10,Momentum2_5_30,Momentum2_10_30
Momentum2_2_3,1.0,0.9426954740300706,0.7640479360465007,0.8497195650140349,0.5767551572242284,0.5149658998970712,0.597045850967718,0.545656552078122,0.3417645403500211,0.2356979549089028
Momentum2_2_5,0.9426954740300706,1.0,0.9188293744869147,0.9761545241799272,0.7664258584888378,0.6970173316634285,0.8031565063644234,0.7527474851651854,0.5032221890252154,0.3693164033346468
Momentum2_2_10,0.7640479360465007,0.9188293744869147,1.0,0.9649075510333374,0.9497655154559352,0.8995517914830793,0.9690724397098176,0.947413909225686,0.7323996649909901,0.5951431494644084
Momentum2_3_5,0.8497195650140349,0.9761545241799272,0.9649075510333374,1.0,0.8454801031560412,0.7747025029319464,0.8915867815454898,0.844636710912414,0.5777138009206914,0.43265177184446585
Momentum2_3_15,0.5767551572242284,0.7664258584888378,0.9497655154559352,0.8454801031560412,1.0,0.9874976870981378,0.9797279527976415,0.9920423096343771,0.8870438877455471,0.7770964533154785
Momentum2_3_20,0.5149658998970712,0.6970173316634285,0.8995517914830793,0.7747025029319464,0.9874976870981378,1.0,0.9389114102670953,0.9666046023019076,0.9472402741505308,0.8633727002642673
Momentum2_5_8,0.597045850967718,0.8031565063644234,0.9690724397098176,0.8915867815454898,0.9797279527976415,0.9389114102670953,1.0,0.9931484727042852,0.7924014859457366,0.6562555561151878
Momentum2_5_10,0.545656552078122,0.7527474851651854,0.947413909225686,0.844636710912414,0.9920423096343771,0.9666046023019076,0.9931484727042852,1.0,0.8463281550664385,0.722729392135477
Momentum2_5_30,0.3417645403500211,0.5032221890252154,0.7323996649909901,0.5777138009206914,0.8870438877455471,0.9472402741505308,0.7924014859457366,0.8463281550664385,1.0,0.9781481149203836
Momentum2_10_30,0.2356979549089028,0.3693164033346468,0.5951431494644084,0.43265177184446585,0.7770964533154785,0.8633727002642673,0.6562555561151878,0.722729392135477,0.9781481149203836,1.0
