,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
Momentum2_2_3,-0.0008205765151944565,-0.40000000000000013,0.5060532687651331,0.011413863293747172,0.4918223392287031,-0.32370431189495386,0.0
Momentum2_2_5,0.0311548421130576,-0.40000000000000013,0.5012106537530266,0.018555632051987823,0.4928121456730337,-0.3917781366557455,0.0
Momentum2_2_10,0.06082031024327176,-0.40000000000000013,0.513317191283293,0.026894988343043737,0.5107175807196291,-0.3300118773514319,0.0
Momentum2_3_5,0.05334908111357979,-0.6000000000000001,0.5012106537530266,0.02359363321696824,0.4997135226486597,-0.39553738792945803,0.0
Momentum2_3_15,0.06861172816508716,0.5999999999999999,0.5278450363196125,0.02866084126607569,0.5197858149712357,-0.221889754378294,0.0
Momentum2_3_20,0.06057822331067484,0.5999999999999999,0.5447941888619855,0.025169287518734207,0.5226987514983154,-0.1600714020503574,0.0
Momentum2_5_8,0.0811975335718469,0.8,0.5108958837772397,0.03143380688961682,0.5157771711247433,-0.24536623604101698,0.0
Momentum2_5_10,0.0785581664676392,0.8,0.5181598062953996,0.030944993830049318,0.5180875260710995,-0.20556214871592307,0.0
Momentum2_5_30,0.04066534388728544,0.5999999999999999,0.5230024213075061,0.015725567490724693,0.5289026492165401,-0.02840627304261424,0.0
Momentum2_10_30,0.02201378705195488,0.3999999999999999,0.5423728813559322,0.010197507191552423,0.5303858375569869,0.009309020068484952,0.0
