,StablecoinFlow_increase_0.0005,StablecoinFlow_increase_0.001,StablecoinFlow_increase_0.0015,StablecoinFlow_increase_0.002,StablecoinFlow_increase_0.0025,StablecoinFlow_increase_0.003,StablecoinFlow_increase_0.0035,StablecoinFlow_increase_0.004,StablecoinFlow_increase_0.0045,StablecoinFlow_increase_0.005,StablecoinFlow_increase_0.0055,StablecoinFlow_increase_0.006,StablecoinFlow_increase_0.0065,StablecoinFlow_increase_0.007,StablecoinFlow_increase_0.0075,StablecoinFlow_increase_0.008,StablecoinFlow_increase_0.0085,StablecoinFlow_increase_0.009,StablecoinFlow_increase_0.0095,StablecoinFlow_increase_0.01
StablecoinFlow_increase_0.0005,1.0,0.8793060745728327,0.7539349684055978,0.6746469979914851,0.6017811491071625,0.560768533255478,0.517991044163439,0.47996552260192576,0.46136151071307313,0.4333163386848168,0.42213325450519584,0.3877519127696062,0.36777583987031537,0.35354505817219445,0.339755164473965,0.32127353971043243,0.30554921470274654,0.2929438007484246,0.2889986040541623,0.2810603792816005
StablecoinFlow_increase_0.001,0.8793060745728327,1.0,0.8573900343253053,0.76680600330176,0.6843246313381264,0.6373110579121015,0.5885549937246527,0.5454370966811414,0.5236588638442222,0.4919549392755029,0.47883029058036786,0.4402475437219875,0.41776253075134356,0.40205856242859145,0.3859154191210681,0.3647776559029427,0.34689770946787135,0.33270753725418856,0.3280765364086985,0.31874151359998915
StablecoinFlow_increase_0.0015,0.7539349684055978,0.8573900343253053,1.0,0.8926186671016113,0.7980112925056397,0.7416261121004915,0.6843086866469541,0.6345407907922402,0.6065564032314752,0.5703675816638563,0.5533674549056007,0.5105145278135175,0.4852550129009388,0.4689330950119783,0.44818795646803816,0.4230350013729629,0.4021896963272818,0.3862420273391542,0.3802401319434712,0.36807372342282924
StablecoinFlow_increase_0.002,0.6746469979914851,0.76680600330176,0.8926186671016113,1.0,0.8951872415134284,0.8306334863844735,0.765951357124904,0.710551176361691,0.6770000220385057,0.6370567937440539,0.6165724743788161,0.5702860585194155,0.5427522327132736,0.5261036028598862,0.5012304899772789,0.47259450456944113,0.44921500915554174,0.43182579849891045,0.42459122419795997,0.4098750334965291
StablecoinFlow_increase_0.0025,0.6017811491071625,0.6843246313381264,0.7980112925056397,0.8951872415134284,1.0,0.9273858251383568,0.8549819600709607,0.7932603180288892,0.7549483879458685,0.7105799608113432,0.6871520352486342,0.6361343530853966,0.6056858083129971,0.5877282441797195,0.5593252777481956,0.5271744842972822,0.5010592253880837,0.48182695897641353,0.47355184526085375,0.45670073489931257
StablecoinFlow_increase_0.003,0.560768533255478,0.6373110579121015,0.7416261121004915,0.8306334863844735,0.9273858251383568,1.0,0.921627497308932,0.8552830998373745,0.8126099545844904,0.7651305261695899,0.738977999324417,0.6850196321891957,0.6526538328275607,0.6342964780966228,0.6026595632390516,0.5677051392311273,0.5395250779737324,0.5190781999936662,0.5098392681448326,0.4909969453102229
StablecoinFlow_increase_0.0035,0.517991044163439,0.5885549937246527,0.6843086866469541,0.765951357124904,0.8549819600709607,0.921627497308932,1.0,0.9281484849448073,0.8808643352459806,0.8295956601632981,0.8005773551350948,0.7427707629612238,0.7079785917168633,0.6887746055045297,0.6537187014207949,0.6155793221070078,0.5849821016513281,0.56299976196429,0.5527474360193132,0.5318186678367404
StablecoinFlow_increase_0.004,0.47996552260192576,0.5454370966811414,0.6345407907922402,0.710551176361691,0.7932603180288892,0.8552830998373745,0.9281484849448073,1.0,0.9485338975936204,0.893433038830281,0.8618273803344939,0.7999460376127382,0.7626374357043954,0.7423302788326144,0.7041736664327337,0.6629710908882823,0.629996469167633,0.6064227892447251,0.5952558156117471,0.5724496258604973
StablecoinFlow_increase_0.0045,0.46136151071307313,0.5236588638442222,0.6065564032314752,0.6770000220385057,0.7549483879458685,0.8126099545844904,0.8808643352459806,0.9485338975936204,1.0,0.9421693783466835,0.9079737058635655,0.8436293053215829,0.8046785061952377,0.7841788546889654,0.7429557311284655,0.6991919083652028,0.6643624714096005,0.6397476920826797,0.627664349511859,0.6029618114231866
StablecoinFlow_increase_0.005,0.4333163386848168,0.4919549392755029,0.5703675816638563,0.6370567937440539,0.7105799608113432,0.7651305261695899,0.8295956601632981,0.893433038830281,0.9421693783466835,1.0,0.9635748216150509,0.8954185356919253,0.854136177123345,0.8325162521092828,0.7886143110027599,0.7421169580448275,0.7051412269155061,0.6790525013097239,0.666181157974809,0.6398640205783613
StablecoinFlow_increase_0.0055,0.42213325450519584,0.47883029058036786,0.5533674549056007,0.6165724743788161,0.6871520352486342,0.738977999324417,0.8005773551350948,0.8618273803344939,0.9079737058635655,0.9635748216150509,1.0,0.9297985300650422,0.8871776999314441,0.8652995560300946,0.8190986378976503,0.770621756780218,0.7321925376795378,0.7052557656310147,0.691698913440188,0.6639650995274197
StablecoinFlow_increase_0.006,0.3877519127696062,0.4402475437219875,0.5105145278135175,0.5702860585194155,0.6361343530853966,0.6850196321891957,0.7427707629612238,0.7999460376127382,0.8436293053215829,0.8954185356919253,0.9297985300650422,1.0,0.9540950600824272,0.9304116350195407,0.8808870283716271,0.8288021715408388,0.7874805425686247,0.7584687722899991,0.7439396825779153,0.714220906961573
StablecoinFlow_increase_0.0065,0.36777583987031537,0.41776253075134356,0.4852550129009388,0.5427522327132736,0.6056858083129971,0.6526538328275607,0.7079785917168633,0.7626374357043954,0.8046785061952377,0.854136177123345,0.8871776999314441,0.9540950600824272,1.0,0.9751770802996922,0.9232696669611983,0.8686788206085421,0.8253690596622435,0.7949614289214249,0.7797332925229108,0.7485846398784094
StablecoinFlow_increase_0.007,0.35354505817219445,0.40205856242859145,0.4689330950119783,0.5261036028598862,0.5877282441797195,0.6342964780966228,0.6887746055045297,0.7423302788326144,0.7841788546889654,0.8325162521092828,0.8652995560300946,0.9304116350195407,0.9751770802996922,1.0,0.9471007642819885,0.8912061446105283,0.8467924617972141,0.815507211535612,0.7999946782555885,0.768272919445174
StablecoinFlow_increase_0.0075,0.339755164473965,0.3859154191210681,0.44818795646803816,0.5012304899772789,0.5593252777481956,0.6026595632390516,0.6537187014207949,0.7041736664327337,0.7429557311284655,0.7886143110027599,0.8190986378976503,0.8808870283716271,0.9232696669611983,0.9471007642819885,1.0,0.940761415876809,0.8938375940090587,0.861000500447112,0.8443924123973666,0.8104120421800323
StablecoinFlow_increase_0.008,0.32127353971043243,0.3647776559029427,0.4230350013729629,0.47259450456944113,0.5271744842972822,0.5677051392311273,0.6155793221070078,0.6629710908882823,0.6991919083652028,0.7421169580448275,0.770621756780218,0.8288021715408388,0.8686788206085421,0.8912061446105283,0.940761415876809,1.0,0.9500999939822438,0.9152945604905615,0.8975173782771497,0.8611354772889858
StablecoinFlow_increase_0.0085,0.30554921470274654,0.34689770946787135,0.4021896963272818,0.44921500915554174,0.5010592253880837,0.5395250779737324,0.5849821016513281,0.629996469167633,0.6643624714096005,0.7051412269155061,0.7321925376795378,0.7874805425686247,0.8253690596622435,0.8467924617972141,0.8938375940090587,0.9500999939822438,1.0,0.9634183299878392,0.9446425121613046,0.9062118733367407
StablecoinFlow_increase_0.009,0.2929438007484246,0.33270753725418856,0.3862420273391542,0.43182579849891045,0.48182695897641353,0.5190781999936662,0.56299976196429,0.6064227892447251,0.6397476920826797,0.6790525013097239,0.7052557656310147,0.7584687722899991,0.7949614289214249,0.815507211535612,0.861000500447112,0.9152945604905615,0.9634183299878392,1.0,0.9805112511957574,0.9406213740485708
StablecoinFlow_increase_0.0095,0.2889986040541623,0.3280765364086985,0.3802401319434712,0.42459122419795997,0.47355184526085375,0.5098392681448326,0.5527474360193132,0.5952558156117471,0.627664349511859,0.666181157974809,0.691698913440188,0.7439396825779153,0.7797332925229108,0.7999946782555885,0.8443924123973666,0.8975173782771497,0.9446425121613046,0.9805112511957574,1.0,0.9591708859386235
StablecoinFlow_increase_0.01,0.2810603792816005,0.31874151359998915,0.36807372342282924,0.4098750334965291,0.45670073489931257,0.4909969453102229,0.5318186678367404,0.5724496258604973,0.6029618114231866,0.6398640205783613,0.6639650995274197,0.714220906961573,0.7485846398784094,0.768272919445174,0.8104120421800323,0.8611354772889858,0.9062118733367407,0.9406213740485708,0.9591708859386235,1.0
