,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
StablecoinFlow_increase_0.0005,0.05428243149618436,-0.6000000000000001,0.5684210526315789,0.2246376811594203,0.7987137843462876,-0.42667398122637884,0.3115942028985507
StablecoinFlow_increase_0.001,0.026233089414169655,-0.40000000000000013,0.5511111111111111,0.21014492753623187,0.7066239242343533,-0.32405722077897287,0.45652173913043476
StablecoinFlow_increase_0.0015,0.028575474622718425,0.3999999999999999,0.5739644970414202,0.1570048309178744,0.6193238599108896,-0.11630817955888376,0.5917874396135265
StablecoinFlow_increase_0.002,0.04061701081540885,0.3999999999999999,0.5955882352941176,0.11594202898550725,0.561301934232959,0.027226844120307934,0.6714975845410628
StablecoinFlow_increase_0.0025,0.02710623765321614,-0.6000000000000001,0.5909090909090909,0.10144927536231885,0.5053795876568896,0.1762857817649898,0.7342995169082126
StablecoinFlow_increase_0.003,0.06098217730894807,0.8,0.6105263157894737,0.07971014492753623,0.4723503909487612,0.24617721613214447,0.7705314009661836
StablecoinFlow_increase_0.0035,0.05501784903635003,-0.40000000000000013,0.6296296296296297,0.06521739130434782,0.43749156081517626,0.3295198297984393,0.8043478260869565
StablecoinFlow_increase_0.004,0.03755744690476796,0.5999999999999999,0.6142857142857143,0.057971014492753624,0.40708904073009095,0.4307589574185801,0.8309178743961353
StablecoinFlow_increase_0.0045,0.051697063515586554,0.5999999999999999,0.6190476190476191,0.04106280193236715,0.38792751815376725,0.38604991798533533,0.8478260869565217
StablecoinFlow_increase_0.005,0.04908800719148477,0.5999999999999999,0.625,0.03864734299516908,0.36574866146372365,0.4734367963641067,0.8647342995169082
StablecoinFlow_increase_0.0055,0.026904555802907255,0.3999999999999999,0.5961538461538461,0.028985507246376812,0.3532190610711287,0.4124917611153166,0.8743961352657005
StablecoinFlow_increase_0.006,0.01946864959577402,0.3999999999999999,0.5777777777777777,0.03140096618357488,0.32819145555094975,0.6025762969212408,0.8913043478260869
StablecoinFlow_increase_0.0065,-0.009868632461866075,0.19999999999999996,0.5365853658536586,0.03140096618357488,0.31312584650242264,0.7235584694642726,0.9009661835748792
StablecoinFlow_increase_0.007,0.002572708796821569,0.3999999999999999,0.5641025641025641,0.036231884057971016,0.30477885282337813,0.9248196310671076,0.9057971014492754
StablecoinFlow_increase_0.0075,0.006716037324783923,0.19999999999999996,0.5428571428571428,0.026570048309178744,0.28954290758846135,0.8215054628531573,0.9154589371980676
StablecoinFlow_increase_0.008,-0.001130279349851382,0.40000000000000013,0.5161290322580645,0.021739130434782608,0.27277580035824217,0.8345193547307467,0.9251207729468599
StablecoinFlow_increase_0.0085,0.030817242812263022,0.3999999999999999,0.5714285714285714,0.01932367149758454,0.2593442614776724,0.8870702184316896,0.9323671497584541
StablecoinFlow_increase_0.009,0.03244791855938307,0.3999999999999999,0.5769230769230769,0.01932367149758454,0.24985701528474882,1.0100232299800236,0.9371980676328503
StablecoinFlow_increase_0.0095,0.03869194455987459,0.3999999999999999,0.6,0.016908212560386472,0.24515420815879235,0.94375687805909,0.9396135265700483
StablecoinFlow_increase_0.01,0.038012162756404747,0.3999999999999999,0.6086956521739131,0.012077294685990338,0.23539263902812108,0.774711083377452,0.9444444444444444
