,bang02_short5_long10,bang02_short5_long20,bang02_short5_long30,bang02_short5_long40,bang02_short10_long15,bang02_short10_long20,bang02_short10_long30,bang02_short10_long40,bang02_short10_long50,bang02_short20_long25,bang02_short20_long30,bang02_short20_long40,bang02_short20_long45,bang02_short20_long50
bang02_short5_long10,1.0,0.7953812503917249,0.7014761974525449,0.6458761479315092,0.5573050372264925,0.5836130586587417,0.5446295165012168,0.49088180642844864,0.4976903435060813,0.4252437732105502,0.37069835293190284,0.39561664971724475,0.40937367032324334,0.39264745701793285
bang02_short5_long20,0.7953812503917249,1.0,0.8825446007412933,0.7858605059281434,0.6490048396132106,0.7069407033182177,0.6458240857255179,0.5832008298362924,0.5338027702516707,0.5577967190495409,0.5076232685659722,0.5150096123266388,0.5185577563973395,0.4918737381689546
bang02_short5_long30,0.7014761974525449,0.8825446007412933,1.0,0.8842232777369291,0.5925314810071155,0.662115862200151,0.7298508787242849,0.6478680348878789,0.5983866812958796,0.6351082472094312,0.5882375537276118,0.5758565351418266,0.579724350707563,0.5543709941499172
bang02_short5_long40,0.6458761479315092,0.7858605059281434,0.8842232777369291,1.0,0.5291769796101906,0.5914852923203764,0.682985199175095,0.6893553937874052,0.6609995800487596,0.5809448925905272,0.5959357499360615,0.6284735775485335,0.6324328075836021,0.6062284022438656
bang02_short10_long15,0.5573050372264925,0.6490048396132106,0.5925314810071155,0.5291769796101906,1.0,0.848370525045384,0.7215991997440511,0.6734446160585837,0.6220977883481438,0.5274776773548303,0.47456389629193907,0.4355801528283642,0.4387682515122751,0.42085191775392433
bang02_short10_long20,0.5836130586587417,0.7069407033182177,0.662115862200151,0.5914852923203764,0.848370525045384,1.0,0.8222940971605399,0.7464400915210986,0.6847094652323684,0.6233045605607713,0.5764978081274909,0.5192729103334238,0.5116909715779094,0.48462658555587684
bang02_short10_long30,0.5446295165012168,0.6458240857255179,0.7298508787242849,0.682985199175095,0.7215991997440511,0.8222940971605399,1.0,0.9100718674355704,0.8245442963859121,0.7490704122636185,0.7301708310707973,0.6545804122357799,0.6361943669261133,0.6111413582821859
bang02_short10_long40,0.49088180642844864,0.5832008298362924,0.6478680348878789,0.6893553937874052,0.6734446160585837,0.7464400915210986,0.9100718674355704,1.0,0.91015876582957,0.6723791219275782,0.70292631045491,0.703924318927787,0.6846804197451635,0.6590541720262462
bang02_short10_long50,0.4976903435060813,0.5338027702516707,0.5983866812958796,0.6609995800487596,0.6220977883481438,0.6847094652323684,0.8245442963859121,0.91015876582957,1.0,0.6271349879071878,0.6442506923145924,0.6902821130834911,0.7062585860545607,0.692414500165033
bang02_short20_long25,0.4252437732105502,0.5577967190495409,0.6351082472094312,0.5809448925905272,0.5274776773548303,0.6233045605607713,0.7490704122636185,0.6723791219275782,0.6271349879071878,1.0,0.9243111218799623,0.817970804787738,0.8016847937553124,0.7623079626567312
bang02_short20_long30,0.37069835293190284,0.5076232685659722,0.5882375537276118,0.5959357499360615,0.47456389629193907,0.5764978081274909,0.7301708310707973,0.70292631045491,0.6442506923145924,0.9243111218799623,1.0,0.8664081432167499,0.8381196495210538,0.8082814182431944
bang02_short20_long40,0.39561664971724475,0.5150096123266388,0.5758565351418266,0.6284735775485335,0.4355801528283642,0.5192729103334238,0.6545804122357799,0.703924318927787,0.6902821130834911,0.817970804787738,0.8664081432167499,1.0,0.9596574254008771,0.9303378749401204
bang02_short20_long45,0.40937367032324334,0.5185577563973395,0.579724350707563,0.6324328075836021,0.4387682515122751,0.5116909715779094,0.6361943669261133,0.6846804197451635,0.7062585860545607,0.8016847937553124,0.8381196495210538,0.9596574254008771,1.0,0.9475454307386483
bang02_short20_long50,0.39264745701793285,0.4918737381689546,0.5543709941499172,0.6062284022438656,0.42085191775392433,0.48462658555587684,0.6111413582821859,0.6590541720262462,0.692414500165033,0.7623079626567312,0.8082814182431944,0.9303378749401204,0.9475454307386483,1.0
