,bang03_5_1.0_DPO_20_5,bang03_5_1.0_DPO_20_10,bang03_5_1.0_DPO_30_5,bang03_5_1.0_DPO_30_10,bang03_5_1.0_DPO_30_20,bang03_5_1.0_DPO_50_10,bang03_5_1.0_DPO_50_20,bang03_5_1.0_DPO_50_30,bang03_5_1.0_DPO_50_40,bang03_10_1.0_DPO_20_5,bang03_10_1.0_DPO_20_10,bang03_10_1.0_DPO_30_5,bang03_10_1.0_DPO_30_10,bang03_10_1.0_DPO_30_20,bang03_10_1.0_DPO_50_10,bang03_10_1.0_DPO_50_20,bang03_10_1.0_DPO_50_30,bang03_10_1.0_DPO_50_40,bang03_20_1.0_DPO_20_5,bang03_20_1.0_DPO_20_10,bang03_20_1.0_DPO_30_5,bang03_20_1.0_DPO_30_10,bang03_20_1.0_DPO_30_20,bang03_20_1.0_DPO_50_10,bang03_20_1.0_DPO_50_20,bang03_20_1.0_DPO_50_30,bang03_20_1.0_DPO_50_40
bang03_5_1.0_DPO_20_5,1.0,0.9722280223008457,0.9723608937323516,0.9501348883212875,0.8866241600758109,0.8929732160005488,0.8306404669020304,0.7807731940846734,0.7396704835820204,0.6695530537989308,0.6611968179774538,0.6497100725952755,0.6459853422903776,0.6453672132279162,0.6229502868048779,0.6330882733789931,0.5919570494768197,0.545815100987631,0.5088446211101545,0.521789457835611,0.5219824348955201,0.5185302767352348,0.4876098256460175,0.49933343193028884,0.47475353769704126,0.4513518051502453,0.4424976788687101
bang03_5_1.0_DPO_20_10,0.9722280223008457,1.0,0.9890068667386571,0.9669133098612901,0.9032358188683234,0.9094006308679818,0.8477564074283681,0.7982135615254898,0.7571192721397693,0.6434908288680725,0.6355099567007851,0.6351838500360492,0.6205630186076487,0.6310753868062746,0.6085083812181195,0.6191463366777522,0.5888838627750003,0.5428618411071681,0.5064352513488584,0.5193187945145974,0.519462661809784,0.5161607593274505,0.485301002243976,0.4969338543465995,0.4724582520243205,0.4492381582137363,0.4404024606376834
bang03_5_1.0_DPO_30_5,0.9723608937323516,0.9890068667386571,1.0,0.977922943607519,0.9139309412102261,0.9199767314145207,0.8585035932571301,0.8088939694350396,0.7677096505908614,0.654644047897004,0.6467670977203038,0.6465567351394688,0.6319397968009476,0.6427996903113848,0.6201528823296802,0.6301509935620289,0.599795215720441,0.5533743329331976,0.5172133554551568,0.5299946616922441,0.5300319236218676,0.5271505447986121,0.4956293210392119,0.5072459457728364,0.4827744470148931,0.4595858709805092,0.4504934934433152
bang03_5_1.0_DPO_30_10,0.9501348883212875,0.9669133098612901,0.977922943607519,1.0,0.9355229410767506,0.9307133375713011,0.8694097421910787,0.8198528706506331,0.7677096505908615,0.654644047897004,0.646767097720304,0.6465567351394688,0.6429305158345382,0.6538236783722347,0.631333620616685,0.640747789180644,0.6102382815505474,0.5636940164392492,0.5172133554551571,0.529994661692244,0.5300319236218676,0.5370859142580782,0.5051271241733648,0.516777960731302,0.49237659071242695,0.4691178859389748,0.45983084731762847
bang03_5_1.0_DPO_30_20,0.8866241600758109,0.9032358188683234,0.9139309412102261,0.9355229410767506,1.0,0.9422739858311371,0.9254373473208738,0.8771773540976109,0.8041664938662442,0.6516390188517487,0.6548269428119378,0.6655463028689967,0.672632469185161,0.6945132592045096,0.6730360242551525,0.6793408863688193,0.6487869377259264,0.6124518490649052,0.5167608419024396,0.5291707491229038,0.5291030343223674,0.5461279924907397,0.5230630702507059,0.5345174720137602,0.5201667119031417,0.4972271264075433,0.4964476893158618
bang03_5_1.0_DPO_50_10,0.8929732160005488,0.9094006308679818,0.9199767314145207,0.9307133375713011,0.9422739858311371,1.0,0.9311845425841031,0.883165234421416,0.8315303677765439,0.6591339138973543,0.6622981836518023,0.6622741238153298,0.6586550471332989,0.6805397503843424,0.6697798975290132,0.6760267512120935,0.655816719550499,0.6194108317410343,0.5338039867555651,0.5459192519847741,0.5457845791560274,0.5631509940865604,0.5484796920788456,0.5692219000293558,0.5551819330743067,0.5321367058186147,0.5214888773883606
bang03_5_1.0_DPO_50_20,0.8306404669020304,0.8477564074283681,0.8585035932571301,0.8694097421910787,0.9254373473208738,0.9311845425841031,1.0,0.951405685653296,0.8769510751387537,0.6477511036338062,0.6512867635121062,0.6622133034236147,0.6694756002695506,0.6918650092378571,0.6808100626521949,0.6976015840607308,0.6872570407148302,0.6600753165367531,0.5036780959442676,0.5164914980000122,0.51634943839469,0.5334902065017707,0.5295784116638877,0.5505261319173661,0.545501938741561,0.5316907268833764,0.5302585626477737
bang03_5_1.0_DPO_50_30,0.7807731940846734,0.7982135615254898,0.8088939694350396,0.8198528706506331,0.8771773540976109,0.883165234421416,0.951405685653296,1.0,0.9139509239509139,0.6073315334121608,0.6116337475543567,0.622740090413555,0.6303331534788079,0.6531784180989437,0.6410701534020581,0.6707107547405502,0.6815658339971516,0.6539137034561607,0.47844847848894695,0.48202465076806444,0.48178146191993865,0.49876014338283153,0.4961993174405617,0.5170503251092838,0.530663550295065,0.5359768356835765,0.5437055583630261
bang03_5_1.0_DPO_50_40,0.7396704835820204,0.7571192721397693,0.7677096505908614,0.7677096505908615,0.8041664938662442,0.8315303677765439,0.8769510751387537,0.9139509239509139,1.0,0.5460790428574398,0.5508780259868113,0.5618249552139973,0.5588174020711613,0.581222045127013,0.5683196837297084,0.6010841136070388,0.6127289061939881,0.6266421380082227,0.4246535556618263,0.42880178141180275,0.4286134958989313,0.44463016682891116,0.4442455525056246,0.4647053336004016,0.4778284354757973,0.5021531210671786,0.5378849448809561
bang03_10_1.0_DPO_20_5,0.6695530537989308,0.6434908288680725,0.654644047897004,0.654644047897004,0.6516390188517487,0.6591339138973543,0.6477511036338062,0.6073315334121608,0.5460790428574398,1.0,0.9668178848801,0.9558979858910949,0.9286041861764153,0.8965596312236739,0.9105352913642859,0.8522773461105052,0.8080409740437241,0.7685846202707638,0.675067445016102,0.6762726288835859,0.6759660555433487,0.6758260114160948,0.6564888514246643,0.6590628679877161,0.6255401866344308,0.6109255356164314,0.5892234874220903
bang03_10_1.0_DPO_20_10,0.6611968179774538,0.6355099567007851,0.6467670977203038,0.646767097720304,0.6548269428119378,0.6622981836518023,0.6512867635121062,0.6116337475543567,0.5508780259868113,0.9668178848801,1.0,0.9779600882999738,0.9506706487750777,0.9183993918326288,0.9332135543658103,0.8738772927901707,0.8295426639827748,0.7907270535723826,0.6757960839561263,0.6768016936342944,0.676679205675411,0.6761810866905984,0.6570919743198057,0.6597581851082859,0.636408746175433,0.6216301252744233,0.5998911554323263
bang03_10_1.0_DPO_30_5,0.6497100725952755,0.6351838500360492,0.6465567351394688,0.6465567351394688,0.6655463028689967,0.6622741238153298,0.6622133034236147,0.622740090413555,0.5618249552139973,0.9558979858910949,0.9779600882999738,1.0,0.9615299584488414,0.9399777550124374,0.9553703205720318,0.8948689450927678,0.8397047672902783,0.8010467531308417,0.6849741619861799,0.6858244514684374,0.6857871335725448,0.6851882776666747,0.6658941370557424,0.6686383604249072,0.6454260188671228,0.6304818035186166,0.6086004483720014
bang03_10_1.0_DPO_30_10,0.6459853422903776,0.6205630186076487,0.6319397968009476,0.6429305158345382,0.672632469185161,0.6586550471332989,0.6694756002695506,0.6303331534788079,0.5588174020711613,0.9286041861764153,0.9506706487750777,0.9615299584488414,1.0,0.9675530698594925,0.9834618908721413,0.9215471773046299,0.866184920535997,0.8275087955743125,0.6611413574151002,0.6622190589615883,0.6622508545751177,0.6711019586467127,0.6619210079129805,0.6551813596182873,0.6511800705397999,0.6361998982549584,0.6142699273635747
bang03_10_1.0_DPO_30_20,0.6453672132279162,0.6310753868062746,0.6427996903113848,0.6538236783722347,0.6945132592045096,0.6805397503843424,0.6918650092378571,0.6531784180989437,0.581222045127013,0.8965596312236739,0.9183993918326288,0.9399777550124374,0.9675530698594925,1.0,0.972521783843529,0.9534778570352902,0.8973741123720551,0.8488334907586912,0.6594128208561654,0.6603988992783517,0.660717956158878,0.6787416382354006,0.669835774367335,0.6632349805890724,0.6595441968285537,0.6441960621336668,0.631535941054602
bang03_10_1.0_DPO_50_10,0.6229502868048779,0.6085083812181195,0.6201528823296802,0.631333620616685,0.6730360242551525,0.6697798975290132,0.6808100626521949,0.6410701534020581,0.5683196837297084,0.9105352913642859,0.9332135543658103,0.9553703205720318,0.9834618908721413,0.972521783843529,1.0,0.9370391261748724,0.88070055189405,0.8415126738917075,0.6518631776289777,0.6531952450241354,0.6532977061190791,0.671912086876787,0.6631406742535936,0.6659258122687384,0.6618980400359251,0.6466161791901703,0.6243418105062682
bang03_10_1.0_DPO_50_20,0.6330882733789931,0.6191463366777522,0.6301509935620289,0.640747789180644,0.6793408863688193,0.6760267512120935,0.6976015840607308,0.6707107547405502,0.6010841136070388,0.8522773461105052,0.8738772927901707,0.8948689450927678,0.9215471773046299,0.9534778570352902,0.9370391261748724,1.0,0.944980494692762,0.8966296929138554,0.6558771223030108,0.6566623730289375,0.6567185875983866,0.6749708881831349,0.6740950869781205,0.6860495468621671,0.6826360695804745,0.676898977823186,0.6724072417399071
bang03_10_1.0_DPO_50_30,0.5919570494768197,0.5888838627750003,0.599795215720441,0.6102382815505474,0.6487869377259264,0.655816719550499,0.6872570407148302,0.6815658339971516,0.6127289061939881,0.8080409740437241,0.8295426639827748,0.8397047672902783,0.866184920535997,0.8973741123720551,0.88070055189405,0.944980494692762,1.0,0.9516801144530614,0.673903582500407,0.6650505404359172,0.6651311272637358,0.6832966680566819,0.6907079146588004,0.7026057972655217,0.6994807555846005,0.7116236172081039,0.7063087003188772
bang03_10_1.0_DPO_50_40,0.545815100987631,0.5428618411071681,0.5533743329331976,0.5636940164392492,0.6124518490649052,0.6194108317410343,0.6600753165367531,0.6539137034561607,0.6266421380082227,0.7685846202707638,0.7907270535723826,0.8010467531308417,0.8275087955743125,0.8488334907586912,0.8415126738917075,0.8966296929138554,0.9516801144530614,1.0,0.6694330996171968,0.6607734773961442,0.6605842935917734,0.6792621005642482,0.6947724789910988,0.7064446778325076,0.7121625141208591,0.733178507505511,0.7621051520959834
bang03_20_1.0_DPO_20_5,0.5088446211101545,0.5064352513488584,0.5172133554551568,0.5172133554551571,0.5167608419024396,0.5338039867555651,0.5036780959442676,0.47844847848894695,0.4246535556618263,0.675067445016102,0.6757960839561263,0.6849741619861799,0.6611413574151002,0.6594128208561654,0.6518631776289777,0.6558771223030108,0.673903582500407,0.6694330996171968,1.0,0.9693329204109631,0.9693807097710367,0.9377289849470852,0.8985725090868142,0.8937880095777577,0.8497164836784071,0.8253181504918188,0.8006062332099451
bang03_20_1.0_DPO_20_10,0.521789457835611,0.5193187945145974,0.5299946616922441,0.529994661692244,0.5291707491229038,0.5459192519847741,0.5164914980000122,0.48202465076806444,0.42880178141180275,0.6762726288835859,0.6768016936342944,0.6858244514684374,0.6622190589615883,0.6603988992783517,0.6531952450241354,0.6566623730289375,0.6650505404359172,0.6607734773961442,0.9693329204109631,1.0,0.9827061371846323,0.9605680688529642,0.9120391540276473,0.9074241592895401,0.8641291811898412,0.8229100646806737,0.7983658507854813
