,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
bang03_5_1.0_DPO_20_5,0.004232478905199913,-0.6000000000000001,0.5222222222222221,-0.03864734299516908,0.4646479174894038,-0.1356443513175082,0.782608695652174
bang03_5_1.0_DPO_20_10,-0.0012176596058246418,-0.40000000000000013,0.5164835164835164,-0.036231884057971016,0.4674334325469605,-0.12219781896793477,0.7801932367149759
bang03_5_1.0_DPO_30_5,-0.0036158044497344895,-0.40000000000000013,0.5274725274725275,-0.03140096618357488,0.4677827942622111,-0.10546648029470464,0.7801932367149759
bang03_5_1.0_DPO_30_10,-0.02726434476198615,0.8,0.5384615384615384,-0.03140096618357488,0.4677827942622111,-0.10546648029470466,0.7801932367149759
bang03_5_1.0_DPO_30_20,-0.027874355380166367,0.8,0.5473684210526315,-0.026570048309178744,0.4782913668117629,-0.07628612453083834,0.7705314009661836
bang03_5_1.0_DPO_50_10,-0.012814873212774198,0.5999999999999999,0.5416666666666667,-0.024154589371980676,0.48093722436850894,-0.06658012303216629,0.7681159420289855
bang03_5_1.0_DPO_50_20,-0.020555850101509746,0.5999999999999999,0.5483870967741935,-0.021739130434782608,0.4734607601136126,-0.06722930269606579,0.7753623188405797
bang03_5_1.0_DPO_50_30,-0.02174119086044464,0.5999999999999999,0.5543478260869565,-0.014492753623188406,0.47118168715967707,-0.04640763071414282,0.7777777777777778
bang03_5_1.0_DPO_50_40,-0.04104837061333401,0.5999999999999999,0.5638297872340425,-0.014492753623188406,0.47628048478710094,-0.04298193222971906,0.7729468599033816
bang03_10_1.0_DPO_20_5,0.05574446655079736,-0.40000000000000013,0.5280898876404494,-0.021739130434782608,0.46314496177608105,-0.07818813202808698,0.785024154589372
bang03_10_1.0_DPO_20_10,0.04613387773617502,-0.40000000000000013,0.5054945054945055,-0.03140096618357488,0.4677827942622111,-0.1054664802947047,0.7801932367149759
bang03_10_1.0_DPO_30_5,0.04281104339362572,-0.40000000000000013,0.5054945054945055,-0.036231884057971016,0.4674334325469605,-0.1221978189679348,0.7801932367149759
bang03_10_1.0_DPO_30_10,0.016116251738311754,-0.40000000000000013,0.5,-0.03864734299516908,0.4698176296198728,-0.12579492513813123,0.7777777777777778
bang03_10_1.0_DPO_30_20,0.014678806750690674,-0.6000000000000001,0.5108695652173914,-0.05314009661835749,0.4683997783449666,-0.17592425783096,0.7777777777777778
bang03_10_1.0_DPO_50_10,0.004149334446841645,-0.40000000000000013,0.5056179775280899,-0.04106280193236715,0.46183296949015146,-0.14996641524413465,0.785024154589372
bang03_10_1.0_DPO_50_20,-0.030311909189099154,0.5999999999999999,0.5454545454545454,-0.04106280193236715,0.4872825474815119,-0.10186410525164119,0.7608695652173914
bang03_10_1.0_DPO_50_30,-0.03796186661902915,0.8,0.5490196078431373,-0.043478260869565216,0.49445571331107185,-0.0955301170167202,0.7536231884057971
bang03_10_1.0_DPO_50_40,-0.047605156579159105,0.8,0.5480769230769231,-0.028985507246376812,0.500367434829915,-0.0576027862164395,0.748792270531401
bang03_20_1.0_DPO_20_5,0.04571613111876509,0.3999999999999999,0.5175438596491229,-0.06280193236714976,0.5209781532190497,-0.08103809405421081,0.7246376811594203
bang03_20_1.0_DPO_20_10,0.030842049155179053,-0.6000000000000001,0.5299145299145299,-0.06521739130434782,0.5275939608483303,-0.0716152001351928,0.717391304347826
bang03_20_1.0_DPO_30_5,0.038885063288299056,-0.6000000000000001,0.5213675213675213,-0.06038647342995169,0.528168694148818,-0.0655949506867358,0.717391304347826
bang03_20_1.0_DPO_30_10,0.03065676707909773,-0.40000000000000013,0.5175438596491229,-0.07246376811594203,0.5197223500591626,-0.09553907841957027,0.7246376811594203
bang03_20_1.0_DPO_30_20,0.053575696973646364,0.3999999999999999,0.5080645161290323,-0.06280193236714976,0.5436660974380436,-0.042886750046637626,0.7004830917874396
bang03_20_1.0_DPO_50_10,0.03463396319796493,-0.40000000000000013,0.5284552845528455,-0.06038647342995169,0.5417147986736711,-0.04422025534612779,0.7028985507246377
bang03_20_1.0_DPO_50_20,0.034359105433498585,-0.40000000000000013,0.5289256198347108,-0.05555555555555555,0.537758413832717,-0.04638184503155515,0.7077294685990339
bang03_20_1.0_DPO_50_30,0.019028102991252096,-0.40000000000000013,0.5609756097560976,-0.06038647342995169,0.5417147986736711,-0.04422025534612784,0.7028985507246377
bang03_20_1.0_DPO_50_40,-0.0009145008937481275,-0.40000000000000013,0.5625,-0.057971014492753624,0.5530082327054757,-0.02724189153438348,0.6908212560386473
