,weilun01_3_2,weilun01_5_2,weilun01_10_2,weilun01_20_2,weilun01_50_2,weilun01_100_2,weilun01_200_2,weilun01_300_2,weilun01_3_1,weilun01_5_1,weilun01_10_1,weilun01_20_1,weilun01_50_1,weilun01_100_1,weilun01_200_1,weilun01_300_1,weilun01_3_0.7,weilun01_5_0.7,weilun01_10_0.7,weilun01_20_0.7,weilun01_50_0.7,weilun01_100_0.7,weilun01_200_0.7,weilun01_300_0.7,weilun01_3_0.3,weilun01_5_0.3,weilun01_10_0.3,weilun01_20_0.3,weilun01_50_0.3,weilun01_100_0.3,weilun01_200_0.3,weilun01_300_0.3
weilun01_3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weilun01_5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weilun01_10_2,,,1.0,0.645737126543852,0.5927912136927147,0.5377729105263748,0.5062613046193172,0.5652747414756775,0.20798723951155917,0.34521569728932466,0.4024315694804208,0.37971826944316023,0.38473960432655163,0.34603537821784436,0.4138871896078525,0.4187450568259445,0.25539843127688583,0.302589231525478,0.2998158224877352,0.2969705106104942,0.3156797426984566,0.28652791877051104,0.29288091351695344,0.3221635610643866,0.23946772267947244,0.22411817800001002,0.219666341165817,0.22368105178953998,0.2295387811773021,0.20958386074423854,0.21377384159515772,0.21206827026990155
weilun01_20_2,,,0.645737126543852,1.0,0.7223528350830013,0.64174939627757,0.6414553138971463,0.6725462141986851,0.240960430871222,0.44459084966649554,0.47537731129422134,0.46147526541490513,0.46833257139238177,0.47114615750258204,0.483232134641474,0.4876197404287991,0.32806504087163374,0.37301051770840166,0.36436905303769274,0.36961808352490705,0.38323748367223043,0.37071494640192604,0.3958683999802912,0.4218512347602054,0.2946044011291577,0.27733854525327384,0.28420824135052475,0.27480321694391957,0.25395109559827816,0.22471324820157468,0.22792695426178552,0.22695144344130141
weilun01_50_2,,,0.5927912136927147,0.7223528350830013,1.0,0.8262049540485809,0.7769554838970902,0.8192269595044128,0.20511899442146753,0.3887423183625264,0.49188993213812054,0.47702257476100446,0.48440578433395354,0.48679054357799,0.523044827852753,0.5272202949909275,0.2866217419549821,0.3547654143058457,0.37664481039302744,0.3805190437244191,0.39598831141338114,0.38155126950892093,0.38865995697658473,0.4164309271338585,0.27999520631235814,0.284917595686376,0.3071241765344674,0.2817713272577009,0.25877095639857917,0.2271892760387736,0.22984526758340246,0.2292547440552617
weilun01_100_2,,,0.5377729105263748,0.64174939627757,0.8262049540485809,1.0,0.9405664006434082,0.8653127607397463,0.22377414334397114,0.38917093773575484,0.4937343506808045,0.47836471190110486,0.4854524056698526,0.48732726893004535,0.5236052408848848,0.5283594226134757,0.2736229086251743,0.35584075232985957,0.37770452751209266,0.3824127462905405,0.397274730704036,0.38262479130171445,0.39012537951141296,0.4174601808890066,0.28108742876705767,0.28698281551781696,0.30795328788351456,0.2829542678475975,0.25997219647854386,0.22837157998920596,0.23169898856217105,0.23066664112522614
weilun01_200_2,,,0.5062613046193172,0.6414553138971463,0.7769554838970902,0.9405664006434082,1.0,0.8135267187758005,0.22799520302129458,0.4006156761012774,0.5036420479197261,0.48999927205127564,0.49744815021031435,0.5016585885392079,0.5368840445470047,0.5414154185982344,0.2826880514729733,0.3644492719425694,0.38689087829216395,0.3927682841038021,0.4068342217238522,0.3951897365895733,0.4027098817415069,0.4293924788535061,0.2877421787388419,0.2943646741048648,0.3029718146678865,0.27947688327502923,0.25821900196244474,0.2426464880793738,0.24575112248869707,0.24494165213864993
weilun01_300_2,,,0.5652747414756775,0.6725462141986851,0.8192269595044128,0.8653127607397463,0.8135267187758005,1.0,0.21475914423105133,0.3678233732498813,0.4683792968789289,0.45269850553701596,0.46002106643444196,0.4605954416262482,0.49728391150702644,0.5006803184257677,0.2566014309503963,0.3365983454619706,0.3574391481757921,0.37749399870777284,0.3756242673359729,0.37841123341549016,0.38508209865692844,0.3934540160596587,0.26541385094853354,0.2819915504338527,0.30539676126129883,0.278279956839169,0.2537742554475599,0.22081242335767343,0.22272888233184085,0.2225986139039775
weilun01_3_1,,,0.20798723951155917,0.240960430871222,0.20511899442146753,0.22377414334397114,0.22799520302129458,0.21475914423105133,1.0,0.5794952266448018,0.4857320902446928,0.5018710241342424,0.48142876592080325,0.4473489858668519,0.4384355702241767,0.42127757845498964,0.7312407129176702,0.614995207012814,0.5943000246523867,0.5586997630075455,0.578464736017099,0.5478013984649331,0.5411771285110626,0.5100061854796382,0.6814043101249142,0.5919861068144561,0.5891530407754202,0.6033929213494394,0.6061637547103457,0.5900105905089086,0.6027413754666822,0.5689894460140961
weilun01_5_1,,,0.34521569728932466,0.44459084966649554,0.3887423183625264,0.38917093773575484,0.4006156761012774,0.3678233732498813,0.5794952266448018,1.0,0.6986079578904315,0.6628679783774426,0.6361002796586358,0.6112106102270642,0.5763163463717512,0.5904240407893842,0.701856513884244,0.801295123322082,0.698036741345472,0.6759501519560577,0.7106684060790277,0.6643722159558841,0.6679321731415385,0.6401729556413656,0.6265767585244918,0.6029575109695117,0.5839433486220323,0.6103604533396341,0.6134157882994685,0.6166169103737501,0.63550313322805,0.6088139121388816
weilun01_10_1,,,0.4024315694804208,0.47537731129422134,0.49188993213812054,0.4937343506808045,0.5036420479197261,0.4683792968789289,0.4857320902446928,0.6986079578904315,1.0,0.8355937882719001,0.7420268300859165,0.6927593124866988,0.7338702886345773,0.7253136433845522,0.5938565949890301,0.7080511536278202,0.7689152797815073,0.7388540141936687,0.7369468508258918,0.7074841186232517,0.6998061993856581,0.7067078030295199,0.5763369742249758,0.563325969366962,0.5710837890197452,0.5918005951023066,0.6072985897240764,0.5892632612434291,0.6076996749524586,0.5934747597462071
weilun01_20_1,,,0.37971826944316023,0.46147526541490513,0.47702257476100446,0.47836471190110486,0.48999927205127564,0.45269850553701596,0.5018710241342424,0.6628679783774426,0.8355937882719001,1.0,0.8851941408587342,0.7838909633122741,0.7921622615257304,0.7726278042542127,0.5758521570222053,0.6792471524007433,0.764024534539219,0.7876184556637902,0.7847115693031681,0.7851931266942658,0.7887570562459368,0.7869645883468909,0.5731548166305374,0.5670870057059874,0.5874160332619512,0.5794907830059322,0.5871010949844099,0.5840104241107301,0.6033911969095526,0.6036179382674061
weilun01_50_1,,,0.38473960432655163,0.46833257139238177,0.48440578433395354,0.4854524056698526,0.49744815021031435,0.46002106643444196,0.48142876592080325,0.6361002796586358,0.7420268300859165,0.8851941408587342,1.0,0.8082605999827811,0.8169698936358383,0.8097675078646354,0.5577572837495817,0.6499499945155338,0.7075778904746776,0.7648001682481831,0.7706871603065897,0.7886598134870216,0.8022154809586577,0.8000550143577919,0.5572448185708307,0.5364841282448387,0.567671403502382,0.566993965122477,0.5741574084342763,0.5711348768901946,0.5833729344163546,0.575607911573432
weilun01_100_1,,,0.34603537821784436,0.47114615750258204,0.48679054357799,0.48732726893004535,0.5016585885392079,0.4605954416262482,0.4473489858668519,0.6112106102270642,0.6927593124866988,0.7838909633122741,0.8082605999827811,1.0,0.8989948008122323,0.8541794080425325,0.515532510817996,0.6086077502465463,0.6462782343219221,0.6922878677278422,0.7462337600691135,0.7710124767348064,0.8053811545653383,0.8227504744451313,0.5273281992057002,0.5028382050365561,0.5521712035194266,0.559211571897865,0.5576665614545768,0.5466786717730704,0.5680195178910223,0.5593311307365556
weilun01_200_1,,,0.4138871896078525,0.483232134641474,0.523044827852753,0.5236052408848848,0.5368840445470047,0.49728391150702644,0.4384355702241767,0.5763163463717512,0.7338702886345773,0.7921622615257304,0.8169698936358383,0.8989948008122323,1.0,0.9546144335432885,0.5063971247985379,0.5890097987022236,0.6348174657010923,0.7001651297629002,0.7359034720905167,0.7491307116275584,0.7624172512445717,0.7897176391228004,0.5200225005476173,0.5083466954479668,0.5423817108898179,0.5492849505463739,0.5470646836035048,0.5359260486828539,0.549217313362255,0.5403599535717146
weilun01_300_1,,,0.4187450568259445,0.4876197404287991,0.5272202949909275,0.5283594226134757,0.5414154185982344,0.5006803184257677,0.42127757845498964,0.5904240407893842,0.7253136433845522,0.7726278042542127,0.8097675078646354,0.8541794080425325,0.9546144335432885,1.0,0.49442400691151817,0.6009805672414231,0.6194630408111843,0.6631630871360239,0.7101395133059584,0.7219644684650058,0.734243490576604,0.7616869059240663,0.5085544310260545,0.49455679497577787,0.5132732948519141,0.5274503247298964,0.5245348131261216,0.5134533857089075,0.5256654773838184,0.508998879700551
weilun01_3_0.7,,,0.25539843127688583,0.32806504087163374,0.2866217419549821,0.2736229086251743,0.2826880514729733,0.2566014309503963,0.7312407129176702,0.701856513884244,0.5938565949890301,0.5758521570222053,0.5577572837495817,0.515532510817996,0.5063971247985379,0.49442400691151817,1.0,0.7311468832562438,0.6745392990693551,0.6328048806006792,0.663718083178417,0.6203114050634677,0.6067631265118908,0.5766725502444382,0.8713285214692656,0.7438419488351082,0.6954564976242834,0.7181616708421966,0.6940974620163008,0.6904435311555424,0.7014744608434609,0.6961123663353376
weilun01_5_0.7,,,0.302589231525478,0.37301051770840166,0.3547654143058457,0.35584075232985957,0.3644492719425694,0.3365983454619706,0.614995207012814,0.801295123322082,0.7080511536278202,0.6792471524007433,0.6499499945155338,0.6086077502465463,0.5890097987022236,0.6009805672414231,0.7311468832562438,1.0,0.7769772708281372,0.7259840232500945,0.7297789206869965,0.6966375610360486,0.6940791706234801,0.6657552507949882,0.7507113684795296,0.716801840599622,0.6963896524027475,0.7158023154515699,0.689541480054704,0.6859115332077207,0.7140852910778624,0.6856848026736303
