,weilun02_0.4_1.0,weilun02_0.4_1.6,weilun02_0.4_2,weilun02_0.4_3,weilun02_0.2_1.0,weilun02_0.2_1.6,weilun02_0.2_2,weilun02_0.2_3,weilun02_0.1_1.0,weilun02_0.1_1.6,weilun02_0.1_2,weilun02_0.1_3
weilun02_0.4_1.0,1.0,,,,0.38750698782240767,0.6284165699721022,,,0.3815754633476685,0.41093424159409614,0.5874236280973099,
weilun02_0.4_1.6,,,,,,,,,,,,
weilun02_0.4_2,,,,,,,,,,,,
weilun02_0.4_3,,,,,,,,,,,,
weilun02_0.2_1.0,0.38750698782240767,,,,1.0,0.2820138161845532,,,0.9031832576880625,0.5797037852735819,0.3024873810273345,
weilun02_0.2_1.6,0.6284165699721022,,,,0.2820138161845532,1.0,,,0.279339631726903,0.4897017010885866,0.9352547231409168,
weilun02_0.2_2,,,,,,,,,,,,
weilun02_0.2_3,,,,,,,,,,,,
weilun02_0.1_1.0,0.3815754633476685,,,,0.9031832576880625,0.279339631726903,,,1.0,0.550717458416372,0.29883315009932,
weilun02_0.1_1.6,0.41093424159409614,,,,0.5797037852735819,0.4897017010885866,,,0.550717458416372,1.0,0.5238751874935048,
weilun02_0.1_2,0.5874236280973099,,,,0.3024873810273345,0.9352547231409168,,,0.29883315009932,0.5238751874935048,1.0,
weilun02_0.1_3,,,,,,,,,,,,
