,weilun04_2,weilun04_3,weilun04_5,weilun04_10,weilun04_20,weilun04_50,weilun04_100,weilun04_200,weilun04_300,weilun04_400
weilun04_2,1.0,0.8188822109269478,0.6346349674549046,0.39701615533433343,0.3108307045943937,0.25854215023191307,0.12091531126552746,0.0553479567409545,0.023739810131560686,0.0029426790915262103
weilun04_3,0.8188822109269478,1.0,0.7127063856321719,0.4295406759327944,0.36436363170406666,0.2814294644571,0.15126691136912304,0.11573706402315978,0.07544041517825006,0.06137547395906866
weilun04_5,0.6346349674549046,0.7127063856321719,1.0,0.6272024057266502,0.46478258424458885,0.2818445959662161,0.2133882501476385,0.15341611863406537,0.09217005727352796,0.05464534978520763
weilun04_10,0.39701615533433343,0.4295406759327944,0.6272024057266502,1.0,0.6532919569299269,0.4033801972128912,0.2745323392056075,0.23368131821107715,0.14190323468382177,0.09894980637977127
weilun04_20,0.3108307045943937,0.36436363170406666,0.46478258424458885,0.6532919569299269,1.0,0.6371534607872114,0.4045584101340735,0.3128721430109726,0.1890588323032071,0.14167784279916945
weilun04_50,0.25854215023191307,0.2814294644571,0.2818445959662161,0.4033801972128912,0.6371534607872114,1.0,0.6556846368982251,0.518016962614144,0.3593451425709115,0.2827058437348057
weilun04_100,0.12091531126552746,0.15126691136912304,0.2133882501476385,0.2745323392056075,0.4045584101340735,0.6556846368982251,1.0,0.7198920740850584,0.5739780589057157,0.44988563226561523
weilun04_200,0.0553479567409545,0.11573706402315978,0.15341611863406537,0.23368131821107715,0.3128721430109726,0.518016962614144,0.7198920740850584,1.0,0.8230165639370088,0.6884020587909296
weilun04_300,0.023739810131560686,0.07544041517825006,0.09217005727352796,0.14190323468382177,0.1890588323032071,0.3593451425709115,0.5739780589057157,0.8230165639370088,1.0,0.8683740114578571
weilun04_400,0.0029426790915262103,0.06137547395906866,0.05464534978520763,0.09894980637977127,0.14167784279916945,0.2827058437348057,0.44988563226561523,0.6884020587909296,0.8683740114578571,1.0
